time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
1,-0.229,-0.361,0.072,0.105,-0.09
2,-1.131,-0.224,-0.553,0.838,-0.172
3,0.096,-0.442,-0.145,-0.76,-0.662
4,0.825,0.492,-0.365,1.62,-1.303
5,-2.029,0.932,0.142,-0.223,-0.437
6,-0.044,-0.836,-0.912,2.54,-0.026
7,0.96,0.271,-0.611,-0.958,-1.108
8,-0.286,-1.716,0.941,-0.227,0.051
9,0.447,-0.218,0.855,-0.332,-0.561
10,-1.002,0.561,0.499,-0.369,0.204
11,-0.812,0.071,0.228,0.161,0.105
12,0.563,0.988,0.047,0.338,-0.305
13,-1.22,0.41,-1.07,-0.105,-1.299
14,1.362,0.121,2.442,-0.16,-0.917
15,-1.441,-0.931,0.897,-0.799,0.201
16,0.458,-0.043,0.773,0.868,0.519
17,0.189,0.119,1.248,1.029,-2.123
18,-0.726,0.705,-1.249,-0.23,-0.565
19,-1.512,0.698,1.38,-1.225,-1.386
20,0.148,0.844,-1.615,-0.61,-0.513
21,1.709,-0.95,-0.094,1.122,0.647
22,0.845,1.628,-0.343,0.536,0.61
23,-0.22,1.419,-0.001,-1.62,-1.027
24,0.028,0.486,-1.451,-1.697,0.167
25,-0.078,1.723,1.987,-1.01,0.675
26,-1.678,-0.38,-0.933,-0.168,0.422
27,0.348,1.145,-0.07,-1.235,-0.381
28,-1.008,1.224,-1.181,-1.464,-0.524
29,-0.54,-0.22,-2.075,-0.122,-0.392
30,0.548,-1.09,1.087,-0.452,1.221
31,-0.886,2.599,-0.077,-0.511,1.308
32,-1.67,-1.37,-1.329,-1.103,-0.481
33,0.038,0.737,-1.165,-1.08,-0.061
34,-0.197,-2.491,-1.092,0.94,-0.804
35,0.19,1.165,0.781,0.264,-1.015
36,-1.119,0.562,0.51,-1.23,-0.658
37,-0.079,1.521,0.241,1.282,-1.362
38,-2.111,-0.274,0.422,0.894,1.084
39,0.34,-1.071,-1.352,0.51,-0.72
