time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
1,0.053,-0.55,1.136,0.929,0.17
2,0.052,-0.567,1.045,-0.297,-0.355
3,-0.815,1.354,-0.679,-0.435,-1.001
4,-1.19,-0.616,0.115,1.394,0.942
5,0.546,-1.396,0.299,1.04,1.052
6,-1.599,1.384,-1.023,1.921,-1.602
7,-0.043,-1.599,0.142,-0.378,-1.576
8,0.537,-1.644,0.522,-0.724,-0.183
9,0.497,-0.844,0.664,-0.779,-0.5
10,0.488,-1.152,-0.429,0.352,-0.321
11,0.216,1.71,-0.154,0.045,1.253
12,-0.964,1.636,-0.909,0.175,-0.393
13,-0.088,-0.312,-1.129,-0.271,-1.287
14,1.097,0.596,0.521,0.166,-0.693
15,0.133,-0.393,0.234,-0.828,-0.796
16,0.485,0.447,-0.948,-0.347,0.392
17,-1.958,-1.303,0.154,0.109,0.188
18,0.418,-1.505,0.943,-1.245,-1.516
19,-0.791,-1.172,0.151,1.108,-0.916
20,0.013,-0.887,-0.502,-0.218,0.918
21,0.374,-0.953,-0.522,-0.516,-1.111
22,1.207,-2.589,0.35,1.562,-0.09
23,1.584,-1.173,1.246,0.512,-0.044
24,-0.181,0.381,0.205,1.23,-0.016
25,-0.748,-0.166,-0.215,0.896,-0.374
26,0.256,1.392,-0.084,0.346,0.847
27,0.867,-0.804,0.161,2.338,-0.182
28,0.861,-0.706,1.268,-2.307,-0.354
29,1.068,-0.058,-1.223,1.187,0.006
30,0.193,-0.032,0.756,-0.54,1.082
31,0.16,-0.165,1.133,0.061,-1.656
32,1.785,-1.178,-0.77,0.617,-0.48
33,1.242,-1.59,0.793,0.184,0.632
34,1.254,0.05,1.116,-0.005,-0.442
35,0.831,-0.473,1.339,0.779,-0.849
36,-0.526,0.425,1.252,0.451,1.507
37,-0.912,-1.295,0.727,0.673,-0.766
38,-0.387,1.05,-0.799,-0.175,-0.289
39,-2.34,-2.19,0.178,-0.114,1.358
40,-0.4,-0.548,0.068,0.627,1.452
41,1.424,0.414,0.2,-0.178,-0.545
42,0.736,0.688,0.904,0.543,1.085
43,-1.411,0.932,-0.321,-0.94,-1.372
44,1.183,-0.512,-0.713,0.511,2.765
45,0.613,-1.542,-0.311,-0.13,0.883
