time,ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060
0,0.39646601362359507,0.44837741406494325,1.2749550761175406,0.6174262428097628,0.5493961223616218,-1.1412924092619519,0.7519935494316143,-0.818841475187055,0.9750024964653743,-0.7628111257935782,0.21230486560538925,-0.3452214797566816,0.39576090134170405,-1.4069064766372803,-0.8945376854807149,-0.81403502999374,-0.11812523953820053,0.28453071295000926,-1.1384871502553506,-0.5775109568081842,-1.2332603744709758,-0.07529106470659847,0.2029909274017186,-0.0008450281203997712,-0.705501583245871,0.6598799755816438,-0.5505998710210782,0.7538110472063448,0.1631558031944639,0.5800210008515821,-0.7991240324771587,-1.5892099409694873,0.02003952300258119,0.6884965748358159,0.5941517577960876,0.13174363729911973,-0.12106162340204016,1.0936206933846577,0.22080102991454345,-0.9128961232002202,-0.823675033094722,-0.8315847913113081,1.0964219970848548,0.4917059068228167,0.4691384376205535,-0.13879404506788118,-1.321178411807644,0.8711640437054204,1.2310884282291175,1.328280170137659,0.490823054633099,-1.2987933940282246,1.063452088599264,0.9425265940963599,-0.5878655519198666,-0.719062268520499,0.618378062370939,1.3658228067647444,-0.7872945415355117,0.2146489848788684
1,-0.315130470927214,-0.047465912523763476,0.9830193218802192,-0.0025011576328356627,0.5376629203617648,0.10838126010229734,0.5239269474400046,-0.5685038761905372,1.1209802162528304,-0.13750613145523932,-0.14399949121982378,-0.18226976006002873,0.544373238003194,-0.5054074660886687,-0.7085105161163919,-0.3834702901225884,-0.6035783951698436,0.9585098802729561,-1.297818120169119,-1.2022856102213684,-1.2939458699662971,-0.889929739269677,1.0276175247948653,-1.0370028560614912,-0.22317256750458223,0.7286888969157782,-0.8950590850118242,0.9050077513846888,-0.2278217819646414,0.670169230435551,-0.588384611053672,-0.5358359104316955,0.3996431480548026,0.1120043315084623,-0.12144336083018972,-0.6644944020699572,-0.38413571080447856,0.10771564896594543,0.2762498851744906,-0.6948310743424576,-1.0922905656887618,-0.002386339360496703,1.0313980885565506,0.25944244507981096,1.1915439868797177,-0.08248161730653919,-1.2699285578646418,0.9440597504700619,1.768052947685096,1.2928501150503764,1.357860378105379,-1.208919260235488,0.17984336499813208,1.2997249253321097,-0.1587029907719721,-0.3080007855719596,0.07216049921859063,1.6629787992946041,-1.0919419863621544,-1.14818182874297
2,-0.6563666087250757,-1.029736788929359,0.5209906600108787,-0.6398226442064657,1.0840877607637929,0.44745891660453424,-0.3970530872218424,-0.5696159837288016,0.025981074440889596,0.8364520426631211,-0.7061587567679395,0.10621545082593459,0.8962624589234313,0.30284500387221025,-0.8618956255243913,-0.21754071230455324,-1.361032406716252,0.9877797251425692,-1.1857431969460128,-1.482172961274421,-0.34147631252596844,0.019606933029453155,0.9826554726921278,-0.45685679441122584,0.7365828099730243,0.757098606051774,-0.17448009549197524,0.6312905127394317,-0.6372093763003938,0.5798320280291022,1.1167432634073036,0.8642524984342637,0.9722456080026869,-0.6481154610676586,-1.0033036666843125,-0.7163576951741774,-0.5001053452340244,-0.07185403588997577,0.8636168711544588,-0.675603499206732,-0.5304746335839874,-0.06684157963253871,0.1525526791568772,-0.17875186835491252,0.8729567155905701,-0.22780558018841002,-1.0596426786393942,0.8150805516052833,1.3697407436630389,0.7768022650369326,0.19971403915215669,-0.69274829776229,-0.50052816461877,0.9789739745586353,0.7642444855952875,-0.6622157419573051,0.27602886011430167,0.763725998639047,-0.6317531511092681,-1.665014571752236
3,-0.21706512505382702,0.0340882585207799,-0.08398648696852405,-1.2311777867089837,0.22572321027577208,1.3289038431957396,-0.8545560235605781,-0.45618794078626945,-0.78586747641375,1.4028431545587556,-0.10696182865438113,0.4264384481594916,0.8780592044257507,0.6179373709091478,-0.8120350946086444,0.2919196522898473,-0.7675558742155361,0.6034359939431554,-1.2780663728732098,-0.6142574444488106,0.530539731230725,-0.8321902553957148,1.0883863386003654,-0.2252416560807109,0.9498156588033839,-0.2786421004259823,1.1607496864661098,-0.6044998427785334,-1.4349179860608279,0.32185588875456095,0.96960374510381,1.268913417339059,1.3010652149616329,-0.9137023529673728,-0.7619701379743467,-1.3291411957266743,-0.6110293226732969,-0.6871589133917408,1.2010040207234742,-0.7081423210230932,0.1478820377573533,0.31709730530574665,-0.14686548173523134,-0.3193556540318497,0.320900890740101,0.27879948312938774,-0.5171872904982135,0.9624042656219849,0.8112336284425058,0.29841407014776405,-0.964782174840495,0.028158551770190166,-0.9215255060208148,0.5171565496888086,0.6275083836441018,-0.7908250620572542,-0.023243412820407677,0.06419139028930804,-0.17767344732719495,-0.8972973315190539
4,-0.6964619270815852,0.6204939471924814,-0.9231335387077697,-1.1764133069602831,0.45732905172377236,1.9392730282059245,-1.5262547920698721,-0.2181854963698454,-1.388584043194243,0.07876802907493974,0.2300174978584139,0.35303354131826253,1.4567086447397724,1.047992508702352,-0.38140009139861086,0.5215540368176953,-1.2392026705531785,0.13188715608188586,-0.47695025933972535,0.6193378572367796,0.692329171829242,0.09927059510932496,1.1330025989728614,0.19997124688311868,1.4479645367091225,-0.6121033159838264,1.2997224322655234,-1.289695299930953,-0.9937865834239181,-0.28363326331909233,-0.14074312388845978,0.8322446668021037,0.7021122915374127,-0.3015195421310392,-0.7891352022654516,-0.6634076909016089,-1.411106185924864,-1.010230315588903,1.1559347076807172,-0.8465545555428649,0.7252825960388267,0.2822173000844368,-0.7986098303994943,-0.5119749923001594,-0.6944143035743426,0.7015477701720998,0.1375857595998245,0.3575694584483194,0.18106346850768348,-0.33426627388628355,-1.3776895144634906,0.7815976657178282,-1.1187757177643396,0.046929043563669434,-0.016301395910026106,-0.26469853001287896,-0.04703421364666305,0.03766839310798026,0.3729649676053719,-0.03400727647514504
5,-0.9364626084080071,0.354762214175358,0.17392571858409106,-0.667663881424034,-0.6579891877679143,1.7202707621761484,-0.8540681521171468,0.08635074245951035,-1.059944292428523,0.07672226846726911,0.7174852544129644,0.20411988092098354,1.7272136693111584,-0.02310748453922773,0.4106688936441486,0.7823578769648547,0.7493051393986542,-0.20163352758185776,-0.339679245925265,0.7338492748692278,-0.31774366175260516,0.6075459723596632,0.4806076708947655,-0.3173976170767917,0.8957317197339965,-1.0783419727552257,0.5143072321796767,-0.23514376171085027,-0.9009274424670881,-1.0684639232330748,-0.8574991344380272,-0.6218468277408835,0.2279627713834999,-0.07261623586674903,-0.6911260184370864,-0.38874072197253906,-0.8188244585959534,-0.6915472215948509,1.4427145412169782,-0.052667403996294576,0.822972234650193,0.5406764075877969,-1.3392666643852267,-0.44700696147088737,-0.5451587905632745,0.4910717541248404,0.8891817379983442,0.25502013341518626,-0.5824982220294747,-0.5579845458488707,0.19666558850298033,1.297291574657509,-0.23400017752319863,-1.3773284656545426,-0.6570376166465122,-0.4946528114595087,-0.49968367671732516,-0.8034389977922605,0.7490431309156217,0.17771729266918557
6,-0.8396287023345518,0.40118496018382976,0.02184581031112716,0.41526855107183436,0.018135440016550042,0.5298926717914937,-1.5579958903403412,-0.0850539883561495,0.6355759601886858,-0.20165285433755742,0.5152239579560647,0.7860156179675459,2.0214805698314358,-0.26641212468970354,-0.06878919852241372,0.4130851492618965,0.3176935754206968,-0.8830171122984425,0.3328885671626241,-0.6644798854514153,-1.107272762356141,1.215515035863301,-0.38852866162370886,0.5379114871296302,0.2279759412338156,-1.5563170195842473,-0.5264274901533789,1.0341142766758629,-0.18311094179776213,-0.8510229465196121,-1.0877052344754812,-1.7094304909566982,-0.21907791482840872,0.7010982670328281,0.3502353867205197,-0.21543803659412397,-1.2594181847658628,-0.26579709289198156,0.7115077725171199,-0.05887625345761621,0.8514806250771587,1.1880312034605578,-0.5904414787776958,-1.3863175321840806,0.25164298304610017,0.45584496184343787,0.6355518028385028,0.30260043013550236,-1.1398641630957704,-1.331377726663093,0.8846411931908084,0.25336164334530614,0.2120280478831241,-0.8175557093608933,-1.2168850331932182,-0.14078836202798703,-0.8255671759423316,-1.2267027189805495,1.269044233744017,0.058045924940018326
7,-1.0361681820966766,-0.7092504156401008,0.4811318316577904,0.3695745514670605,-0.5306494176445393,0.18740437177756758,-1.1234093136371426,0.013430579920292063,0.9962729150646464,-1.31192475362985,-0.060399071643586516,-0.23982047993471728,1.5116472706776165,-0.9899677936262709,0.9745479003885684,0.8882199010465008,0.6972649985412895,-1.776353407020053,0.2786450968256056,-1.5634493120811659,-0.25479251723298235,1.1580701379527656,-0.6094285227502997,0.4939656422680593,-0.6395085338588371,-1.102033670582953,-1.2157287979999327,1.622342411381919,0.6720665834915844,-0.29229093638462156,0.21665278451747633,-0.9894937320855484,-1.1144824602417145,0.1368006160422022,0.47881249278225463,0.13223854777927552,-1.197115613624297,0.4930145541789518,0.8412892444962784,0.25016611511519476,-0.7278924799154612,1.4630986020157315,0.11424903568920992,-0.6807951616851684,0.20005438246929252,0.9064553121393809,0.656789227509901,0.23171082230159631,-1.6293132013788238,-1.275399112148766,1.0209816065055648,-0.7328866281430115,0.7755074368582071,-0.8122075657404378,-1.2121021544767865,-0.6487267507825729,-0.7045091555566214,-1.0833937106213314,1.329182558858493,-0.37353686422261767
8,-0.6328849028425538,-1.0290546651627581,0.9806152267255703,-0.20882441587036008,0.5880717765069907,-0.18075140331799353,-0.3623119439273642,-0.11858374235964747,0.7121834146235048,-0.5966157977891124,-0.4795304135252688,-0.5883497092314383,1.4850469726623858,-1.222078813255486,1.413341403791274,0.9436390938668016,0.9038254973548228,-1.587236974523703,1.2442868037129864,-1.2696441298624739,0.3813633197633062,1.1760991909373346,-0.7848311230369507,-0.1882211026288666,-1.0770259311635662,0.05894886780302541,-0.23207045117441516,1.2358674446091251,0.9504676498043965,0.027931822414249182,1.2539610916713377,0.41945398436843284,-0.7068603338781709,-0.7375052919313666,1.751850773258374,0.7847906639140443,-1.0144807083066052,0.9091029434438557,0.4937638148176877,0.33700659254802945,-1.5161003737870675,0.9767246331471533,0.7432898418807422,-1.1131028542418522,0.9114273925232181,1.2114689997854222,1.0842681313621714,-0.5612730099705927,-0.644681798603194,-1.1594788860457856,0.20278775930529497,-1.0917349572572164,0.7618433466519267,0.2810814238737219,-0.08347638093093707,0.4652800543808545,-0.867601726233185,-0.09647435712116473,1.1166261944281948,-0.9793249258054333
9,-0.6734010352544351,-0.4477613539996878,0.9169798052405976,-1.2613265083869687,0.907406993256631,-0.14009059705101284,0.8405866269502645,0.023932104568902685,0.051378497448868826,-0.14326690432452355,-0.35701828984527334,-0.5601196671165865,1.5396215890183165,-0.8598303240172718,1.1782789841238828,0.67244285955277,0.5305108734447834,-0.6817594979507099,0.8168942898567304,-0.30431459464139105,1.0654098473656817,0.3731181887997646,-1.2195251633817055,-0.25745703308986667,-0.8566706811155298,0.7496343881478296,1.2301306152321505,-1.032233140126424,1.3016524116085968,0.5475148422991617,0.7449490680936455,0.9371471927656576,-1.214011796002176,-0.7234355655715695,1.6719556284845922,1.0548406116339513,-0.8990728442010747,1.1530124570549396,-0.29948887789773904,0.4669709949092512,-1.283457172686026,1.3778920665019532,1.6723262990296268,-1.0019871462307794,0.5574938569620101,1.3588488871727404,0.49743671045424653,-0.5248134708878575,0.7517644944963003,-1.5397672557130273,-0.49139099808952963,-1.630547731431437,0.9434075706372962,0.28349942587880195,0.5408555612295487,-0.014229277884867275,-1.185383620076113,0.25020546832698765,1.4113514256040929,-0.9832602780834953
