ROI,ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060
ROI_001,1.0,0.36132180944621306,0.46020518091950474,0.563507686909344,0.6353626419955501,0.29928120923920654,0.49439511931567715,0.49689437084565646,0.360513285759334,0.3853244498239797,0.5054878699519155,0.3689651787001436,0.4315123491730183,0.6261781895275218,0.4430189000848544,0.36282332086726615,0.5735589688436317,0.46878597081196194,0.5035545453145391,0.46789842552976374,0.5652266518594414,0.608600328812433,0.5408709257075546,0.6599739776361098,0.7719741847177721,0.5243460303536008,0.39238385276217597,0.6739659706306383,0.5954657544374049,0.42674025419870326,0.302019434475705,0.33731142868797687,0.4020451593339093,0.6618442634675418,0.5413955870524151,0.5603676802522377,0.39493898151396084,0.7728419632996314,0.5960051329359181,0.6115575017496305,0.7356567574517858,0.5811078858500263,0.5757444478064763,0.6074297716622996,0.5796651959109053,0.507301045379589,0.4294381247650728,0.48842815458438227,0.3626393694604834,0.5121050283426583,0.4816832081529901,0.5598942257371725,0.4344488318232885,0.7566907035403866,0.2871429943808952,0.32345115994742696,0.4338058323768239,0.6512989536017985,0.48826763540221807,0.48824847784023523
ROI_002,0.36132180944621306,1.0,0.5592906221053706,0.5285640002786741,0.616708797548787,0.4666457900125513,0.6005711031014804,0.48762658322291913,0.5617606915162235,0.5696109041409008,0.40513546197636874,0.3799159949269662,0.5431253681173426,0.6575317161859258,0.6500236103831278,0.6034893928959281,0.4699831605853835,0.46858149110026676,0.29370921335719785,0.39002242192265263,0.5328315173707694,0.4707489831617012,0.4126558851051595,0.5192966575848977,0.6080098335595784,0.685089254606802,0.7020089585607496,0.6949199371829841,0.5766960236345998,0.5010470298241112,0.44111793554030154,0.688623687987718,0.6216203424548574,0.5452903172957296,0.4113947773058227,0.6254745761368433,0.5342027898607284,0.4977496636199603,0.5686732417022798,0.5433963910510159,0.44198221482627703,0.77831918165204,0.42485580171867326,0.504649819264235,0.6498824773276366,0.6637642749877748,0.4562971465936001,0.4932184105299113,0.6561704646396448,0.5621449605024981,0.5075840928148339,0.5615196209963185,0.6099301170480487,0.5088206050201192,0.5597747668824463,0.5752145094258287,0.5774920135466987,0.4262419540634653,0.36775609664134706,0.4102716344484824
ROI_003,0.46020518091950474,0.5592906221053706,1.0,0.760150966064641,0.45646762732954765,0.3934265306438502,0.43902133015654105,0.4762941726601787,0.720723769688245,0.5899813174086364,0.5843240123487108,0.5308630729206638,0.624495512659728,0.5134459688954072,0.17877244561991382,0.43780167467467473,0.5046283926464225,0.5030139705527316,0.3234921706241842,0.6980019650104464,0.4288812339640369,0.6434837911230221,0.2727371498193796,0.6821406753355702,0.5079250460623276,0.7552820527543376,0.42569340528654703,0.6021380357079896,0.700321191171742,0.4676549560695762,0.5847162086200759,0.3309504930822808,0.5139880245456848,0.4929661294727224,0.7386403091848014,0.39022382006124073,0.39770587308881916,0.6068082297832192,0.26789156459820546,0.3593876625041853,0.586204156853556,0.5511030746169455,0.6243170494403102,0.6358847136060678,0.2774953543250379,0.6400475541980759,0.532473279646389,0.660341414175449,0.4205968256522632,0.3994389580250957,0.8228565484106005,0.3528278580110491,0.4685618412682678,0.6588200888142569,0.5540630913727507,0.4644333609328297,0.5421289407101464,0.5194952505843539,0.4484355724863323,0.2798226412061333
ROI_004,0.563507686909344,0.5285640002786741,0.760150966064641,1.0,0.3682541460637748,0.5451248832986013,0.5718236740278415,0.5509268085376194,0.5595029528502257,0.6002859542423513,0.42983215160176913,0.5336858463713572,0.625081995568383,0.5112404043088206,0.5303375224505356,0.4597405266497821,0.5265197599797562,0.5001799494939208,0.7456469372697501,0.4673190053403415,0.6101123383767768,0.3893077998489595,0.5862384359893812,0.44072267313564994,0.41866093449655795,0.35959468242017145,0.4665704290140316,0.5177780315256251,0.40044734105204044,0.45204818205916625,0.4832686288053827,0.4676173546621503,0.5273990943683953,0.20225358797110218,0.28106784732146356,0.34323187562205393,0.4479327119760675,0.6214156689512152,0.5656922481335984,0.45097947910689234,0.6130660184437657,0.5301904051433001,0.5746740685190533,0.5612595596470742,0.5100359927312643,0.4775103744032006,0.5413339865235772,0.8155406717420435,0.47283174896311514,0.6064042015269424,0.5805019404536624,0.8622979957414588,0.42041026650809205,0.8030031770662492,0.6353415542241723,0.6124474253898137,0.5299995085008476,0.5093736074199992,0.4264810104202026,0.45797772376488916
ROI_005,0.6353626419955501,0.616708797548787,0.45646762732954765,0.3682541460637748,1.0,0.6479326481078381,0.5181921306241446,0.32737411382424236,0.5333595705838169,0.5246951366435106,0.4721434022077872,0.6350311923082461,0.3874991136820195,0.4210214800668511,0.45155958702096294,0.5267167541236599,0.4353662795821272,0.2674159335980088,0.30117614842732415,0.6172213626937094,0.4837655142944607,0.6039066818089492,0.560807299139926,0.40880444624597156,0.47675030667182317,0.3601169088586696,0.4661707777435771,0.48294842561269097,0.7221297682414414,0.5031478486578714,0.574601797440109,0.5576511268908262,0.5699389806742636,0.6682862304051551,0.432370589718856,0.566702956479106,0.6885199305501863,0.615378033000369,0.41486273339515545,0.40498778319190987,0.6206217573153997,0.5363341746343393,0.6262302758007744,0.7260334794719194,0.7632892068722249,0.552869613313581,0.5075144112749943,0.4929442861831992,0.5734683548952658,0.5257429935757819,0.39834804507441207,0.4580027442210335,0.3633873362949,0.5973853311780192,0.5026827323181253,0.6739538400516529,0.6373264964758976,0.5206103454504707,0.22330175444397757,0.2887428426657907
ROI_006,0.29928120923920654,0.4666457900125513,0.3934265306438502,0.5451248832986013,0.6479326481078381,1.0,0.6245558625622929,0.6203357281390762,0.54383087279833,0.2404796491992196,0.5226649732840059,0.49426723778679643,0.591099753650004,0.38934699174074455,0.6426680635263223,0.5284832325275579,0.5421305997146582,0.4061533699789059,0.6948295624385411,0.47863945692683946,0.5009210480171999,0.24391470995232006,0.542068413397356,0.44188017798506335,0.5370756326793025,0.5507141876690101,0.4715667924291082,0.38814923767985315,0.5059810478064399,0.4919615554098723,0.5617316730162064,0.5279272507597725,0.6581385283582707,0.6337207810401372,0.737161797042801,0.588838500796189,0.4800442752786899,0.6888421200466119,0.5415725707092658,0.6424739289186032,0.6537038196795842,0.4542013879408489,0.46576256727340243,0.3184640696519462,0.4736454089373973,0.4994894234172246,0.46301218179523873,0.3300411470462864,0.51720332556814,0.5263375587858394,0.576459473883431,0.5879769413896129,0.4761086060425877,0.30264062417214643,0.481143337963057,0.27417162395222966,0.4346713825868432,0.4274046059484554,0.4976485238453953,0.5143711581064598
ROI_007,0.49439511931567715,0.6005711031014804,0.43902133015654105,0.5718236740278415,0.5181921306241446,0.6245558625622929,1.0,0.5733263303609036,0.7203196922776757,0.42076719662404316,0.52814186489436,0.30102574174778135,0.36829649291270417,0.5841103938176091,0.6114147200751641,0.42221431103363466,0.5148117545835466,0.5052429887952063,0.49738770355491463,0.5202843781578226,0.4131481046076766,0.509150710588785,0.5836258451193828,0.7447118274832841,0.5030933726187568,0.6860784844590928,0.6413627300297501,0.47999094997826885,0.39874498432419103,0.5241670624422576,0.6672980495154489,0.48487649903397373,0.5557229729400842,0.584607952196353,0.37736191052444634,0.6725972167798911,0.3935329192548277,0.5249571178776423,0.7406322057708645,0.5530186550290835,0.4432703130221207,0.3697048955914546,0.4668405610463553,0.567504205411251,0.4655712998185322,0.6063664855415635,0.5455932118818023,0.3595548735917309,0.40745030938699667,0.4558014781517195,0.4687060312420396,0.21593942605340882,0.42390419765632054,0.38781250200903433,0.5769067457972039,0.601969992270291,0.4599503240537851,0.5394615710477294,0.6705769252238707,0.6675989351056956
ROI_008,0.49689437084565646,0.48762658322291913,0.4762941726601787,0.5509268085376194,0.32737411382424236,0.6203357281390762,0.5733263303609036,1.0,0.47203463164738796,0.5109210119646936,0.36580393619078605,0.3209915140443051,0.42680284826608117,0.5543160086363196,0.8068527294336655,0.6758805980860281,0.46277911563536017,0.6624433307264859,0.22791302205577477,0.674705944229612,0.3873417823319152,0.3277988868267181,0.507371493235162,0.3794041066708386,0.522667151812314,0.5187113150569734,0.399069510594589,0.6334897459752652,0.6912255448526428,0.4567121271780872,0.6585516741691542,0.5016184185623389,0.3347691808774129,0.5966303574591446,0.6112927210973496,0.5156678518710249,0.5179743648555486,0.48969014522816373,0.7375428390086664,0.3883294150260958,0.2737707747150309,0.3777728245441207,0.34404350634264813,0.41733127499222616,0.44123389680703723,0.5125351435024998,0.25371711268904035,0.5107757975850923,0.44086330712622335,0.407207663458146,0.6582435775724438,0.7944438576184878,0.4774683863030184,0.5240218626321278,0.48710349637955613,0.3505364714001805,0.38531934023772496,0.4922653441183974,0.5317486989265127,0.5410399530720246
ROI_009,0.360513285759334,0.5617606915162235,0.720723769688245,0.5595029528502257,0.5333595705838169,0.54383087279833,0.7203196922776757,0.47203463164738796,1.0,0.3693262210062101,0.33107292741409766,0.546567799169003,0.5623649849415041,0.7136375428153741,0.4652362195033494,0.522519458585602,0.4555211398264505,0.5843995627631348,0.592826126420319,0.4958384755796556,0.6849586829223321,0.352133948147716,0.6812992610927608,0.5365839230381109,0.6247287327559323,0.4103816959517583,0.363038419998352,0.43694146903468417,0.497092605357991,0.7204100183558755,0.6902841001289134,0.4777994790561719,0.3282759657622528,0.4468443233974749,0.4810441857795358,0.5682262445181294,0.6650390608014078,0.5913542118991069,0.5350754698065209,0.733186261219459,0.42340741059848186,0.4785547953333954,0.5386291559116533,0.5595248896565992,0.2557884396069024,0.4121147247253738,0.6639907356752955,0.5804144702415469,0.4140812439428381,0.6901550805233622,0.4143312364691164,0.49041983165329656,0.32295072496116717,0.7188922477256016,0.4288683687505552,0.5420041131592485,0.3564542547496711,0.5762013492756992,0.7652288913705919,0.5046816094909
ROI_010,0.3853244498239797,0.5696109041409008,0.5899813174086364,0.6002859542423513,0.5246951366435106,0.2404796491992196,0.42076719662404316,0.5109210119646936,0.3693262210062101,1.0,0.40174386573705606,0.4877859252715577,0.3208091027942025,0.4044620659023989,0.5492226466378394,0.41413636204350035,0.6002899706228824,0.4661778772914467,0.5681922726886204,0.5256944875015036,0.6181353445996631,0.5412503953776892,0.44397348779639945,0.39864411625649027,0.6415705473310384,0.616385694088025,0.7068487102525576,0.21036153551975798,0.689886367639198,0.4099410064367277,0.6395842852068355,0.469010615336229,0.6084059163643972,0.5610283145330351,0.3214192446615693,0.3547437273084798,0.2649447831109495,0.56333994547133,0.5698165775472362,0.48850242794494103,0.49057531741513777,0.38146194642085834,0.6845526814095907,0.5172435310346369,0.3716426672517005,0.3549456575690135,0.5300708946221707,0.5204220240817475,0.4046977396811318,0.5535242692113537,0.46914059784981693,0.4022406251611688,0.4437265250017279,0.5233240139389701,0.48613808099766,0.3088503087719456,0.4634245085099228,0.46342576053147194,0.6664541221097201,0.42818477039549985
