timepoint,bold_signal
0,0.06233918388220321
1,-0.0019121944373629574
2,0.03540296079218119
3,0.48082950998220414
4,0.7556324031364592
5,0.7096296942482204
6,0.6036017467222828
7,0.8070679937499612
8,0.8904823468002289
9,0.9366444042659812
10,0.6219559161604892
11,0.7845988714657561
12,0.6585766365156871
13,0.506049381837601
14,0.38698472877562123
15,0.1657035991365445
16,0.025802743548236112
17,0.10951329036470125
18,-0.16789128819976273
19,-0.3984015033064107
20,-0.7692429560297686
21,-0.6883625548255274
22,-0.7361234357000351
23,-0.8977966891046754
24,-0.9454692115804766
25,-0.7008808898745063
26,-0.8154956023541524
27,-0.9477859226461622
28,-0.8356806843341753
29,-0.6191315686859657
30,-0.33645137401257125
31,-0.5213924948409578
32,-0.00813846067408816
33,-0.10871143682611967
34,-0.10506567559927582
35,0.30878442124590466
36,0.5578539694640163
37,0.483322698694176
38,0.6942685744155448
39,0.6628984006824415
40,0.7595278224142673
41,0.9935417415138095
42,0.9059157548535057
43,0.6305543863028703
44,1.0598168957368928
45,0.5246700458677772
46,0.6494105243587599
47,0.48843134859140164
48,0.2843666454966255
49,0.17420425077156013
50,-0.01965669334695186
51,-0.04945788651375761
52,-0.3799924019379131
53,-0.5695594202643783
54,-0.49060553073579416
55,-0.43872621868926237
56,-0.7402588814865342
57,-0.5704685210214774
58,-0.8090075842456844
59,-0.6068227026828654
60,-0.6452360268607648
61,-0.6383182052230248
62,-0.503952547510391
63,-0.61036830829712
64,-0.37363476860477896
65,-0.4356800018484792
66,-0.3138519333113128
67,0.16049277214049806
68,0.1810637763212586
69,0.4612998085108241
70,0.4859503483361762
71,0.49040924920445617
72,1.0227792307295194
73,0.9090706025293223
74,0.8064044995605347
75,0.8026690676429976
76,0.9841520985351676
77,0.7051961646507101
78,0.8584100938616233
79,0.6617275436846759
80,0.31160907974563845
81,0.4298128788264267
82,0.33303760042316555
83,0.11580754874385495
84,0.015419780162937949
85,-0.08224015569179322
86,-0.4443568829331861
87,-0.2394681367632719
88,-0.5970168907838105
89,-0.6009918863909988
90,-0.9504583497356084
91,-0.672421526747277
92,-0.7117972393074445
93,-0.8449023735731322
94,-0.641920195946165
95,-0.5865697017977843
96,-0.42746275127071043
97,-0.34276590450342104
98,-0.36102339508014425
99,-0.14331939507302197
100,-0.20383763040907438
101,0.15248060924420614
102,0.23261367512093034
103,0.5569221444718043
104,0.7087465770558781
105,0.724170740542276
106,0.5016342624469075
107,0.8373819277842944
108,0.6658314405330518
109,0.8462352349951755
110,0.7798371269148062
111,0.570177925081668
112,0.4580446815835665
113,0.6105773679651212
114,0.6397746022008022
115,0.24126490301446754
116,0.13935032883779921
117,-0.11603122001974206
118,-0.23139019757722828
119,-0.5413600796851532
120,-0.46028838530728855
121,-0.5603517735755162
122,-0.7124471979994271
123,-0.7309705873214868
124,-0.8286674144962132
125,-0.639496783183923
126,-0.7949759608903355
127,-0.7122164049999674
128,-0.5601497679244122
129,-0.5603531234728346
130,-0.4217393066527217
131,-0.5596673718535594
132,-0.22882026871913988
133,0.17950728486310097
134,0.14713959848105984
135,0.37008652026484723
136,0.43257492607297393
137,0.7357705110669532
138,0.5266195188782805
139,0.604201732905405
140,0.8397302793984347
141,0.8880431107590809
142,0.83649489448251
143,0.8103970507361571
144,0.643983627799153
145,0.7714595311999006
146,0.5520059900699705
147,0.4884866321295714
148,0.23714078666589655
149,0.39599421923512657
150,-0.05399357111045907
151,-0.1298961834158833
152,-0.4268203199671441
153,-0.5260993933132841
154,-0.5531220786881097
155,-0.7459200470882748
156,-0.7087444090519415
157,-0.8756315522335258
158,-0.7838037828111678
159,-0.7903377756010241
160,-0.6130295670720252
161,-0.7616249531360756
162,-0.748427558197694
163,-0.6061928061994496
164,-0.645054519678803
165,-0.5098439857585938
166,0.02046427628880393
167,0.3052805664864005
168,0.15300145846359164
169,0.3517136491060641
170,0.4159865213749315
171,0.6973927154823978
172,0.6546796798796705
173,0.7289272100852372
174,0.767427410153192
175,0.6057510888245368
176,0.8851287418475569
177,0.5971418697026447
178,0.9409043811888004
179,0.7448260867813885
180,0.4929700637822102
181,0.013018474374773714
182,0.203349398751663
183,0.13888135488964498
184,-0.05530054667461687
185,-0.32476658813266895
186,-0.1432808552772373
187,-0.42219655106624665
188,-0.6439682409631228
189,-0.44375190612996296
190,-0.7131877103644261
191,-0.7745557712365787
192,-0.7519016682390751
193,-0.6291060063190898
194,-0.686297849824087
195,-0.6208402057207034
196,-0.5174763740847815
197,-0.20075867330227912
198,-0.28505319805898355
199,-0.3121355082037651
