trial,condition,reaction_time_ms,accuracy,session
1,stim_C,308,0.923,session-1
2,stim_B,330,1.0,session-1
3,stim_C,231,0.88,session-1
4,stim_B,419,0.83,session-1
5,stim_C,364,0.891,session-1
6,stim_A,483,0.945,session-1
7,stim_B,313,0.853,session-1
8,stim_C,402,0.871,session-1
9,stim_A,288,0.929,session-1
10,stim_A,365,0.835,session-1
11,stim_A,251,0.909,session-1
12,stim_C,332,0.897,session-1
13,stim_B,240,1.0,session-1
14,stim_B,375,0.888,session-1
15,stim_C,334,0.984,session-1
16,stim_B,392,0.927,session-1
17,stim_C,307,0.914,session-1
18,stim_B,365,0.973,session-1
19,stim_C,355,0.857,session-1
20,stim_A,420,0.901,session-1
21,stim_C,364,0.878,session-1
22,stim_B,325,0.813,session-2
23,stim_A,361,0.942,session-2
24,stim_B,340,0.897,session-2
25,stim_C,422,0.89,session-2
26,stim_A,438,0.942,session-2
27,stim_B,384,0.91,session-2
28,stim_B,385,0.959,session-2
29,stim_A,237,0.927,session-2
30,stim_A,407,0.822,session-2
31,stim_B,437,1.0,session-2
32,stim_C,381,0.816,session-2
33,stim_C,358,0.919,session-2
34,stim_A,375,0.897,session-2
35,stim_C,310,0.931,session-2
36,stim_B,347,0.795,session-2
37,stim_C,316,0.852,session-2
38,stim_A,360,0.845,session-2
39,stim_B,302,0.875,session-2
40,stim_C,366,0.946,session-2
41,stim_C,195,0.895,session-2
42,stim_A,255,0.927,session-2
43,stim_A,331,0.879,session-2
