trial,condition,reaction_time_ms,accuracy,session
1,stim_C,366,0.909,session-1
2,stim_B,332,0.945,session-1
3,stim_A,297,0.813,session-1
4,stim_C,308,0.861,session-1
5,stim_A,356,0.926,session-1
6,stim_B,385,0.922,session-1
7,stim_C,384,0.927,session-1
8,stim_B,307,0.989,session-1
9,stim_B,368,1.0,session-1
10,stim_B,374,0.793,session-1
11,stim_C,292,0.855,session-1
12,stim_C,394,0.951,session-1
13,stim_B,340,0.912,session-1
14,stim_C,253,0.937,session-1
15,stim_C,278,0.902,session-1
16,stim_A,210,0.785,session-1
17,stim_B,284,0.906,session-1
18,stim_A,454,0.921,session-1
19,stim_A,383,0.895,session-1
20,stim_A,438,0.921,session-1
21,stim_C,436,0.947,session-1
22,stim_B,416,0.889,session-1
23,stim_C,257,0.905,session-1
24,stim_C,374,0.846,session-1
25,stim_C,370,0.826,session-1
26,stim_A,340,0.846,session-1
27,stim_A,312,0.843,session-1
28,stim_A,398,0.806,session-1
29,stim_B,317,0.855,session-1
30,stim_A,378,0.852,session-1
31,stim_A,447,0.865,session-2
32,stim_A,459,0.888,session-2
33,stim_B,370,0.955,session-2
34,stim_C,382,0.853,session-2
35,stim_A,318,0.867,session-2
36,stim_B,367,0.864,session-2
37,stim_A,352,0.947,session-2
38,stim_C,210,0.889,session-2
39,stim_A,499,0.902,session-2
40,stim_B,460,0.863,session-2
41,stim_A,371,0.859,session-2
42,stim_B,488,0.832,session-2
43,stim_B,341,0.802,session-2
44,stim_B,222,0.885,session-2
45,stim_B,323,1.0,session-2
46,stim_C,268,0.938,session-2
47,stim_A,409,0.956,session-2
48,stim_B,290,0.894,session-2
49,stim_B,389,0.924,session-2
50,stim_C,237,0.981,session-2
51,stim_B,376,0.89,session-2
52,stim_A,421,0.857,session-2
53,stim_A,387,0.853,session-2
54,stim_B,468,0.888,session-2
55,stim_C,384,0.873,session-2
56,stim_B,384,0.898,session-2
57,stim_A,383,0.967,session-2
58,stim_C,359,0.795,session-2
59,stim_A,254,0.918,session-2
60,stim_A,397,0.902,session-2
