time,region_1,region_2,region_3,region_4,region_5
0,0.8314,1.4747,1.7779,0.8762,1.2874
1,1.2198,1.4924,1.3818,0.876,1.3075
2,1.4029,1.3055,0.5087,0.5088,1.4972
3,0.3337,0.5448,1.5501,0.6059,1.3087
4,0.4289,0.3227,0.7413,0.3892,1.0269
5,1.2334,0.4903,0.324,0.6646,0.6031
6,0.7927,1.1603,1.0668,0.7867,1.1075
7,0.6635,0.8227,1.3273,0.3019,1.131
8,1.3324,1.297,1.569,1.4199,0.79
9,1.6177,0.7554,0.679,0.8329,1.0355
10,0.5239,1.7206,0.1865,0.9083,0.7386
11,0.566,0.2905,1.1741,0.3177,0.6988
12,1.3504,1.175,0.8797,0.7124,0.6674
13,1.1733,1.1744,1.9593,1.2976,1.2315
14,1.1696,1.1012,1.6277,2.0022,1.4306
15,1.6148,1.0138,0.5348,0.7833,0.667
16,1.4868,1.4913,1.2423,0.9785,0.6837
17,1.0599,0.7723,0.7695,0.6366,0.6955
18,0.2577,1.1007,0.8073,1.185,1.2006
19,0.8502,1.1806,1.7583,0.6847,1.0185
20,1.0581,1.4248,0.4102,1.667,1.2638
21,1.354,2.0583,0.5273,0.9039,0.5972
22,1.3747,2.1005,0.2377,1.2917,0.6206
23,0.7329,1.0151,0.599,0.7454,0.6451
24,0.6857,1.9035,1.4069,1.3952,0.9707
25,1.0397,0.3679,1.9179,1.8603,1.3484
26,1.4361,2.0017,1.3029,0.6513,1.3578
27,0.8299,0.778,0.7463,1.6597,0.7895
28,0.1062,0.9467,1.1578,2.1096,0.7024
29,0.9015,1.0825,0.713,0.9506,1.2957
30,1.3897,0.7904,1.4275,0.9946,0.3358
31,0.5456,0.6489,0.6883,0.561,2.2873
32,0.452,0.3667,0.5902,0.3589,0.7507
33,0.5388,0.5931,0.9871,0.8717,1.7379
34,0.7877,0.1143,2.0602,1.0767,1.1439
35,0.6236,1.221,1.1432,0.7626,0.6079
36,1.1597,0.6531,1.5164,1.649,0.8734
37,0.2733,1.0054,1.3656,1.9313,1.4568
38,0.7332,1.8674,0.3898,0.9737,1.1931
39,1.4902,1.9841,1.3145,0.2445,0.7382
40,0.6778,0.5459,0.8098,0.8875,0.3657
41,1.0559,0.8495,0.592,2.0611,1.0627
42,1.4364,0.6744,0.551,0.4661,1.3686
43,0.4217,1.9604,0.3723,0.812,0.5088
44,1.1559,0.476,1.0152,0.5167,0.2318
45,1.3431,0.8277,2.0453,0.4054,0.5638
46,0.9902,0.3601,1.1571,0.8118,1.7084
47,0.9235,0.3817,1.5421,1.1958,0.6195
48,0.9526,1.367,0.9747,1.1189,0.5219
49,0.8288,1.9279,0.8923,1.3981,0.7839
50,0.6562,0.8309,1.2833,0.4004,1.305
51,0.8642,0.3778,0.8369,0.6903,1.3572
52,0.2104,0.9682,1.14,0.8232,0.4394
53,0.7383,0.7237,1.1602,1.3041,1.1674
54,0.7674,0.5181,0.7191,1.5625,1.7395
55,0.4499,1.3855,0.4343,0.5612,2.0638
56,0.4152,0.4876,0.9134,1.5424,0.6389
57,1.0655,0.5395,0.3786,0.7688,0.9621
58,0.8033,1.3487,0.6005,0.7093,1.5463
59,1.096,0.87,1.1034,1.4687,0.7116
60,2.1359,1.1696,0.9202,0.6241,0.97
61,0.8476,2.2335,0.8037,0.9779,0.8543
62,1.5553,1.6785,0.5748,0.5421,0.6774
63,0.6717,1.2544,0.6305,0.7005,0.731
64,0.4102,0.8407,0.5413,0.8278,0.6712
65,0.6258,1.0271,1.1396,0.3737,1.5515
66,1.6175,0.8248,1.3833,1.9149,1.4194
67,1.2392,0.3527,1.8239,0.9534,1.6449
68,0.4962,0.5758,0.6278,1.0714,0.6228
69,0.5612,1.1735,1.0826,0.3214,0.359
70,0.9704,0.6455,0.4223,0.7852,1.9242
71,0.4396,0.9163,0.6479,0.6725,0.4244
72,0.6909,0.3202,0.4461,0.9728,1.3154
73,1.3058,1.3383,0.8302,0.4332,0.7769
74,1.4779,0.5036,0.9875,0.7588,0.5284
75,0.6602,0.9342,0.8873,2.062,0.6972
76,1.7285,0.3078,0.6335,0.601,0.9472
77,1.2268,0.4,0.6841,0.4994,1.5364
78,0.5422,0.5286,0.6393,1.0379,0.9557
79,0.687,0.5616,1.5814,0.7208,0.4597
80,0.8689,1.7597,1.3459,2.1075,0.3221
81,0.3498,1.2833,0.7615,0.6866,0.8365
82,0.4462,1.0426,1.2068,0.8598,0.3757
83,1.9477,1.7373,0.7078,0.5406,1.2601
84,0.784,0.3359,0.8755,0.7712,1.9469
85,1.3601,0.9129,1.4396,1.9628,1.9024
86,0.4388,0.7175,1.1121,0.8377,0.4806
87,0.2281,0.4233,1.1962,0.6025,0.7511
88,1.4783,0.659,0.7018,0.9732,0.3879
89,0.3546,1.0048,1.2478,1.3965,0.6473
90,0.5805,1.5135,1.6064,1.1353,0.6344
91,1.1514,1.4691,1.6569,0.5794,0.9208
92,1.3512,1.9243,1.0165,0.4149,0.5223
93,1.8497,1.4785,0.6643,0.5327,1.7298
94,1.185,1.1391,0.7138,0.6513,0.3034
95,1.335,0.8692,1.2535,0.8026,2.0729
96,1.2395,1.2507,2.0047,0.3753,0.4912
97,1.0613,1.1708,1.5718,0.6169,1.1895
98,0.7324,1.1615,0.7421,0.8462,0.537
99,1.3866,1.3219,0.9684,0.543,0.7247
