region_id	thickness_mm
ROI-001	2.715
ROI-002	2.464
ROI-003	2.611
ROI-004	2.899
ROI-005	3.014
ROI-006	2.663
ROI-007	2.887
ROI-008	2.281
ROI-009	2.622
ROI-010	2.898
ROI-011	2.927
ROI-012	2.638
ROI-013	2.655
ROI-014	2.662
ROI-015	3.026
ROI-016	2.906
ROI-017	2.457
ROI-018	2.563
ROI-019	2.664
ROI-020	2.776
ROI-021	2.576
ROI-022	3.067
ROI-023	2.026
ROI-024	2.669
ROI-025	2.811
ROI-026	2.443
ROI-027	2.591
ROI-028	2.442
ROI-029	2.177
ROI-030	3.015
ROI-031	2.890
ROI-032	2.340
ROI-033	2.701
ROI-034	3.220
ROI-035	1.845
ROI-036	3.185
ROI-037	2.479
ROI-038	2.659
ROI-039	2.339
ROI-040	2.499
ROI-041	2.959
ROI-042	2.760
ROI-043	2.674
ROI-044	2.491
ROI-045	2.165
ROI-046	2.349
ROI-047	3.035
ROI-048	2.260
ROI-049	2.599
ROI-050	2.426
ROI-051	2.665
ROI-052	2.838
ROI-053	2.700
ROI-054	2.970
ROI-055	2.872
ROI-056	2.668
ROI-057	2.858
ROI-058	2.415
ROI-059	2.623
ROI-060	2.503
ROI-061	2.918
ROI-062	2.686
ROI-063	2.623
ROI-064	2.465
ROI-065	2.452
ROI-066	2.487
ROI-067	2.448
ROI-068	2.651
ROI-069	2.664
ROI-070	2.201
ROI-071	2.426
ROI-072	2.790
ROI-073	2.366
ROI-074	2.373
ROI-075	2.267
ROI-076	2.523
ROI-077	2.387
ROI-078	2.860
ROI-079	2.438
ROI-080	2.000
ROI-081	2.808
ROI-082	2.521
ROI-083	2.219
ROI-084	2.502
ROI-085	2.597
ROI-086	2.576
ROI-087	2.667
ROI-088	2.238
ROI-089	2.873
ROI-090	2.963
ROI-091	2.553
ROI-092	2.632
ROI-093	2.603
ROI-094	2.362
ROI-095	2.597
ROI-096	2.378
ROI-097	2.279
ROI-098	2.762
ROI-099	2.584
ROI-100	2.773
