time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
1,-1.802,0.012,1.231,-0.32,-0.257
2,-2.153,-0.449,-2.514,0.087,2.399
3,-0.124,-0.427,0.084,-0.042,-0.093
4,-1.451,-0.291,0.462,-1.263,0.879
5,-0.502,1.497,-0.744,0.394,-1.272
6,-0.079,-0.515,0.23,-0.364,-0.322
7,2.715,0.095,-0.453,1.236,-1.903
8,-0.463,-1.381,-0.123,-0.305,-0.09
9,1.28,0.581,-1.358,0.468,-0.475
10,0.113,-0.742,1.753,0.438,-0.125
11,-0.057,0.729,0.111,0.834,-0.224
12,0.228,0.169,-1.945,-1.403,-0.841
13,0.393,-0.18,0.038,0.838,-1.639
14,-0.657,0.105,0.713,-0.394,0.167
15,-0.557,0.911,0.692,0.533,-0.628
16,-0.686,0.093,-1.52,-2.113,0.667
17,-0.325,-0.596,-1.077,0.238,-1.399
18,0.389,-0.565,-1.995,-1.253,1.474
19,-0.518,0.141,-1.841,0.733,-1.521
20,-0.794,-0.714,1.894,-0.809,-0.911
21,-0.983,1.467,-0.043,-2.09,0.847
22,2.925,-0.156,0.119,0.72,1.194
23,0.055,0.001,-0.647,0.38,1.546
24,-0.111,-0.415,-0.478,1.858,0.51
25,-1.521,0.021,-0.794,-2.521,0.119
26,0.108,0.118,-0.549,-0.194,-1.956
27,1.242,-1.565,0.321,0.043,-0.133
28,0.565,0.256,-0.64,1.677,-0.029
29,-0.12,-0.188,-1.047,0.559,0.319
30,0.365,2.139,-0.419,0.62,-0.69
31,-0.271,-0.703,-0.377,1.329,-1.531
32,0.54,0.396,-0.847,-0.49,2.026
33,0.515,0.632,-0.211,0.197,1.296
34,-1.034,-1.258,-0.289,-1.342,0.408
35,-0.347,-0.293,1.587,-1.147,0.054
36,0.594,-1.043,-1.079,1.342,1.733
37,1.211,2.996,0.304,0.842,1.379
38,-0.886,-0.632,-0.211,1.537,0.096
39,-0.529,-1.276,0.211,1.295,-0.45
40,2.18,0.816,-0.455,-0.347,-1.359
41,-1.069,1.239,0.058,-0.357,0.112
42,1.447,-0.466,-0.56,-0.352,-1.049
43,0.663,0.755,0.633,0.388,0.21
44,-0.685,1.189,-0.551,-0.522,1.192
