region_id	thickness_mm
ROI-001	2.241
ROI-002	2.388
ROI-003	2.843
ROI-004	2.770
ROI-005	2.714
ROI-006	2.664
ROI-007	3.033
ROI-008	2.617
ROI-009	2.872
ROI-010	2.649
ROI-011	2.858
ROI-012	2.660
ROI-013	2.947
ROI-014	2.419
ROI-015	2.734
ROI-016	2.668
ROI-017	2.658
ROI-018	2.887
ROI-019	2.533
ROI-020	2.891
ROI-021	2.803
ROI-022	2.735
ROI-023	3.098
ROI-024	2.380
ROI-025	2.922
ROI-026	2.628
ROI-027	3.365
ROI-028	2.588
ROI-029	2.619
ROI-030	2.809
ROI-031	2.832
ROI-032	2.811
ROI-033	2.359
ROI-034	2.649
ROI-035	2.360
ROI-036	2.767
ROI-037	2.439
ROI-038	2.652
ROI-039	2.408
ROI-040	2.222
ROI-041	2.538
ROI-042	2.748
ROI-043	3.136
ROI-044	2.705
ROI-045	2.859
ROI-046	2.682
ROI-047	2.880
ROI-048	2.679
ROI-049	2.794
ROI-050	2.970
ROI-051	2.814
ROI-052	2.386
ROI-053	2.503
ROI-054	2.433
ROI-055	3.074
ROI-056	2.534
ROI-057	2.221
ROI-058	2.842
ROI-059	2.470
ROI-060	2.611
ROI-061	2.518
ROI-062	2.414
ROI-063	2.206
ROI-064	2.345
ROI-065	2.501
ROI-066	2.184
ROI-067	2.202
ROI-068	2.684
ROI-069	2.745
ROI-070	2.798
ROI-071	2.442
ROI-072	2.593
ROI-073	2.437
ROI-074	2.740
ROI-075	2.634
ROI-076	2.854
ROI-077	2.530
ROI-078	2.600
ROI-079	2.506
ROI-080	2.358
ROI-081	3.022
ROI-082	2.696
ROI-083	2.817
ROI-084	2.662
ROI-085	2.637
ROI-086	2.882
ROI-087	2.289
ROI-088	2.265
ROI-089	2.463
ROI-090	2.137
ROI-091	2.956
ROI-092	2.536
ROI-093	1.829
ROI-094	2.679
ROI-095	2.491
ROI-096	2.544
ROI-097	2.651
ROI-098	2.726
ROI-099	2.777
ROI-100	2.569
