region_id	thickness_mm
ROI-001	3.113
ROI-002	2.275
ROI-003	2.170
ROI-004	1.969
ROI-005	2.510
ROI-006	3.020
ROI-007	3.139
ROI-008	2.786
ROI-009	2.780
ROI-010	2.859
ROI-011	2.706
ROI-012	2.857
ROI-013	2.457
ROI-014	2.481
ROI-015	2.842
ROI-016	2.963
ROI-017	3.076
ROI-018	2.475
ROI-019	2.742
ROI-020	2.463
ROI-021	2.925
ROI-022	2.667
ROI-023	2.249
ROI-024	2.056
ROI-025	2.933
ROI-026	2.643
ROI-027	2.024
ROI-028	2.809
ROI-029	2.682
ROI-030	2.858
ROI-031	2.674
ROI-032	2.356
ROI-033	2.826
ROI-034	2.789
ROI-035	2.804
ROI-036	2.726
ROI-037	2.456
ROI-038	2.717
ROI-039	2.623
ROI-040	2.521
ROI-041	2.666
ROI-042	2.562
ROI-043	2.801
ROI-044	2.375
ROI-045	2.447
ROI-046	2.852
ROI-047	2.473
ROI-048	2.640
ROI-049	2.769
ROI-050	2.697
ROI-051	2.491
ROI-052	2.353
ROI-053	2.267
ROI-054	2.646
ROI-055	2.439
ROI-056	1.936
ROI-057	2.071
ROI-058	2.873
ROI-059	2.777
ROI-060	2.420
ROI-061	2.396
ROI-062	2.893
ROI-063	2.350
ROI-064	2.584
ROI-065	2.689
ROI-066	2.838
ROI-067	2.545
ROI-068	2.892
ROI-069	2.816
ROI-070	2.552
ROI-071	2.206
ROI-072	2.783
ROI-073	2.820
ROI-074	2.415
ROI-075	2.672
ROI-076	2.609
ROI-077	2.385
ROI-078	2.817
ROI-079	2.271
ROI-080	2.452
ROI-081	2.563
ROI-082	2.543
ROI-083	2.118
ROI-084	3.170
ROI-085	2.869
ROI-086	2.285
ROI-087	3.061
ROI-088	2.526
ROI-089	2.726
ROI-090	2.804
ROI-091	2.416
ROI-092	2.849
ROI-093	2.301
ROI-094	2.619
ROI-095	2.680
ROI-096	2.750
ROI-097	2.695
ROI-098	2.372
ROI-099	2.399
ROI-100	2.442
