region_id	thickness_mm
ROI-001	2.562
ROI-002	2.801
ROI-003	2.495
ROI-004	2.940
ROI-005	2.333
ROI-006	2.554
ROI-007	2.862
ROI-008	2.392
ROI-009	2.895
ROI-010	2.599
ROI-011	2.569
ROI-012	2.696
ROI-013	2.173
ROI-014	2.645
ROI-015	2.614
ROI-016	2.749
ROI-017	2.355
ROI-018	2.464
ROI-019	2.611
ROI-020	2.502
ROI-021	2.753
ROI-022	2.675
ROI-023	2.433
ROI-024	2.792
ROI-025	2.841
ROI-026	2.809
ROI-027	2.526
ROI-028	2.235
ROI-029	3.127
ROI-030	2.434
ROI-031	2.453
ROI-032	2.416
ROI-033	2.848
ROI-034	2.481
ROI-035	2.708
ROI-036	2.303
ROI-037	2.141
ROI-038	2.548
ROI-039	2.566
ROI-040	2.405
ROI-041	3.131
ROI-042	2.354
ROI-043	2.569
ROI-044	2.512
ROI-045	2.940
ROI-046	2.809
ROI-047	2.557
ROI-048	2.766
ROI-049	2.884
ROI-050	2.657
ROI-051	2.541
ROI-052	2.684
ROI-053	3.016
ROI-054	2.797
ROI-055	2.454
ROI-056	2.304
ROI-057	2.626
ROI-058	2.883
ROI-059	2.316
ROI-060	2.356
ROI-061	2.816
ROI-062	2.468
ROI-063	2.578
ROI-064	2.514
ROI-065	2.268
ROI-066	2.440
ROI-067	2.550
ROI-068	2.735
ROI-069	2.796
ROI-070	2.705
ROI-071	2.509
ROI-072	2.413
ROI-073	2.899
ROI-074	2.685
ROI-075	2.813
ROI-076	2.355
ROI-077	2.848
ROI-078	2.643
ROI-079	3.020
ROI-080	2.469
ROI-081	2.271
ROI-082	2.797
ROI-083	2.459
ROI-084	2.305
ROI-085	2.333
ROI-086	2.612
ROI-087	2.709
ROI-088	2.563
ROI-089	2.919
ROI-090	2.588
ROI-091	2.368
ROI-092	2.571
ROI-093	2.259
ROI-094	2.807
ROI-095	2.600
ROI-096	2.474
ROI-097	2.762
ROI-098	2.095
ROI-099	2.660
ROI-100	2.569
