region_id	thickness_mm
ROI-001	2.512
ROI-002	2.687
ROI-003	2.766
ROI-004	2.314
ROI-005	3.242
ROI-006	2.466
ROI-007	2.706
ROI-008	2.295
ROI-009	2.737
ROI-010	2.753
ROI-011	2.559
ROI-012	2.655
ROI-013	2.871
ROI-014	2.787
ROI-015	2.644
ROI-016	2.297
ROI-017	2.520
ROI-018	2.357
ROI-019	3.237
ROI-020	2.777
ROI-021	2.663
ROI-022	2.153
ROI-023	2.111
ROI-024	2.373
ROI-025	2.922
ROI-026	2.960
ROI-027	2.941
ROI-028	2.733
ROI-029	2.743
ROI-030	2.528
ROI-031	2.539
ROI-032	2.590
ROI-033	2.557
ROI-034	2.540
ROI-035	2.635
ROI-036	2.579
ROI-037	2.554
ROI-038	2.612
ROI-039	2.707
ROI-040	2.730
ROI-041	2.553
ROI-042	2.465
ROI-043	2.917
ROI-044	2.722
ROI-045	2.588
ROI-046	2.470
ROI-047	2.623
ROI-048	2.595
ROI-049	2.622
ROI-050	2.772
ROI-051	2.559
ROI-052	2.653
ROI-053	3.387
ROI-054	2.886
ROI-055	2.722
ROI-056	2.909
ROI-057	2.606
ROI-058	2.993
ROI-059	2.593
ROI-060	2.364
ROI-061	2.690
ROI-062	2.722
ROI-063	2.490
ROI-064	2.644
ROI-065	1.896
ROI-066	2.421
ROI-067	2.471
ROI-068	2.836
ROI-069	2.429
ROI-070	2.267
ROI-071	3.119
ROI-072	3.013
ROI-073	2.520
ROI-074	2.420
ROI-075	2.842
ROI-076	2.971
ROI-077	2.843
ROI-078	2.454
ROI-079	2.802
ROI-080	2.691
ROI-081	2.592
ROI-082	2.154
ROI-083	2.414
ROI-084	2.758
ROI-085	3.090
ROI-086	2.334
ROI-087	2.545
ROI-088	2.567
ROI-089	2.597
ROI-090	2.423
ROI-091	2.666
ROI-092	2.537
ROI-093	2.015
ROI-094	2.729
ROI-095	2.965
ROI-096	2.636
ROI-097	2.194
ROI-098	2.885
ROI-099	2.290
ROI-100	3.048
