time,region_1,region_2,region_3,region_4,region_5
0,0.8129,1.5278,1.1599,1.3058,2.1059
1,0.8484,2.0915,1.6206,0.7212,1.5225
2,0.4645,0.8392,1.7914,1.2425,1.0493
3,1.4829,0.9938,0.7307,0.8992,1.3476
4,0.5256,0.4777,0.7084,0.939,0.7478
5,0.6881,0.49,0.9634,0.5838,0.3363
6,0.85,0.6696,0.5114,0.9072,0.8536
7,0.5902,1.709,1.2658,1.2262,0.7858
8,2.0102,1.9183,0.5505,1.0272,1.3921
9,0.297,1.8023,1.6436,0.665,0.4976
10,1.5112,0.8746,0.5587,1.4236,1.8095
11,0.5898,0.4695,0.6919,0.2648,1.3204
12,0.5717,0.4963,0.6678,0.628,0.8619
13,0.8431,1.28,0.9018,1.5529,2.0877
14,0.7416,1.1459,1.8623,0.6861,0.7302
15,1.9998,0.9552,1.1597,0.7783,1.0304
16,1.5289,0.5569,0.8169,0.8158,1.8328
17,1.2581,1.0235,1.793,0.6803,0.6664
18,0.9901,0.7744,0.1667,0.5761,0.3716
19,1.669,0.2191,0.7124,1.2552,0.3216
20,0.9965,0.5103,1.3993,0.6326,0.4108
21,0.2147,2.1913,1.7627,0.7226,0.5811
22,1.8562,1.6294,1.1209,0.9895,0.4485
23,0.4979,1.0806,1.1393,1.1467,0.8512
24,1.4936,0.401,1.143,0.6119,0.8438
25,0.7674,1.5087,0.2892,1.7304,0.54
26,0.6811,1.3449,0.7865,0.8895,0.5595
27,1.1341,0.6862,0.2286,0.9118,1.0266
28,0.6993,1.2763,1.2781,0.4738,0.3729
29,0.4488,1.2212,1.1915,0.9521,0.652
30,0.793,1.6554,0.6263,1.4182,0.4784
31,0.5717,0.3228,2.0942,1.096,0.6217
32,1.2125,0.6765,0.5833,1.9369,1.1763
33,1.9651,2.0931,0.8791,1.8852,0.5591
34,0.5341,0.8456,0.7338,0.9196,1.3188
35,0.8105,0.6498,0.3463,0.584,2.1262
36,0.5528,0.8606,0.3972,0.3138,0.4018
37,1.2705,0.927,1.7057,0.7283,0.688
38,1.4372,0.7711,0.3661,1.0866,0.8369
39,1.1927,2.1116,1.0187,0.2647,0.7004
40,0.8096,2.0809,1.1607,0.4595,0.9037
41,1.5029,0.3741,0.556,0.5865,0.7748
42,0.8954,1.3876,0.7041,0.8027,0.6073
43,0.7132,1.8245,1.1857,1.5992,0.7859
44,1.8525,1.0391,0.4942,1.1318,1.6631
45,1.3402,0.7761,0.1924,0.6883,1.7768
46,1.6347,0.7569,1.7801,0.5129,1.9468
47,1.1239,0.968,0.4292,2.1674,1.5146
48,1.752,0.971,1.6612,0.5154,0.474
49,0.8914,1.1239,1.0684,0.4393,1.5205
50,1.3894,1.2431,2.0206,1.5962,0.6773
51,0.9362,0.9772,0.279,1.4356,0.6561
52,0.7029,0.6872,0.8021,1.212,0.5913
53,0.9393,2.1262,1.0817,0.0955,0.7466
54,1.7953,0.7607,1.0045,1.6271,1.0483
55,1.7154,1.8926,0.9501,1.7303,0.3972
56,1.2942,0.6688,0.6662,0.4061,1.4517
57,0.3584,0.5636,0.5767,0.965,0.782
58,0.8764,2.0083,1.4421,1.6498,1.6014
59,0.7116,0.6564,1.4749,0.5265,0.6151
60,0.7795,0.9025,0.4947,1.6761,1.2049
61,1.3548,0.7878,1.0186,0.7481,0.9438
62,1.2696,0.5141,1.6125,0.7742,1.0901
63,0.6045,2.0386,0.9877,1.0296,0.7762
64,0.87,1.9764,1.9354,1.7124,2.0507
65,0.9357,1.9142,0.1984,0.6221,1.6476
66,1.18,1.8109,0.7646,1.8189,1.338
67,0.3637,0.7084,1.0171,0.5108,0.9153
68,1.3999,0.3588,0.2698,1.4497,1.6566
69,0.763,0.7552,2.0992,0.7973,0.1657
70,1.0763,0.6642,1.7838,1.1588,1.0382
71,1.4511,0.9678,0.683,1.1317,0.5883
72,1.0419,1.2999,0.2601,0.7543,2.0
73,0.5629,1.4274,1.1532,0.8295,0.6696
74,0.1264,0.7572,1.0442,0.4604,1.7744
75,1.1362,0.8922,0.3195,1.0507,1.6466
76,1.0657,0.9337,0.8458,0.4893,0.957
77,1.7325,1.6352,0.463,0.7533,1.6028
78,0.3265,0.488,1.5906,0.4721,1.8287
79,1.1641,1.4162,1.2121,1.5107,0.4966
80,1.118,0.6295,0.7773,2.073,1.3994
81,0.9997,1.5665,0.6721,2.0001,0.7943
82,0.4456,1.9664,0.715,0.2571,1.5952
83,0.8292,0.545,0.8376,1.4825,0.792
84,0.7584,0.6335,0.7713,0.9929,0.7263
85,0.5918,0.2475,0.895,1.3571,1.257
86,0.9508,1.0882,1.0892,1.1236,1.5626
87,1.8214,0.834,0.4949,0.6148,1.2263
88,0.4145,0.9687,0.7673,0.5297,0.6294
89,0.8197,0.519,0.8386,0.9462,0.431
90,0.7308,1.1151,0.704,0.4871,1.0198
91,1.6951,2.0493,0.5904,0.5013,0.6714
92,1.4287,1.3297,0.9947,0.7762,1.809
93,1.0672,0.5324,0.8112,0.6167,0.4402
94,1.9991,1.487,1.2971,0.521,1.0318
95,1.0674,1.9654,0.7524,0.9779,1.5961
96,1.3034,0.6032,0.5901,0.5197,1.0154
97,1.0696,2.0547,0.8228,1.7154,0.8841
98,1.7518,1.4365,0.6909,0.6307,1.2084
99,1.0974,2.067,1.1906,0.8435,0.4792
