time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
1,-0.47,0.507,0.434,-0.076,0.393
2,-0.696,-0.691,-2.15,-1.243,-0.472
3,0.333,1.14,-0.509,-1.497,1.65
4,0.047,-2.049,0.478,-0.275,1.829
5,-0.936,-0.433,1.475,-0.646,0.683
6,-0.981,-0.742,0.876,0.578,-1.698
7,-0.594,0.424,-0.436,2.715,-0.035
8,-1.519,1.878,1.4,1.502,0.269
9,0.489,2.085,0.19,0.639,-0.785
10,-0.794,-0.729,0.245,0.854,-1.234
11,0.839,0.461,0.995,-0.678,0.556
12,-0.744,-0.264,0.189,-0.564,1.412
13,1.39,0.106,-1.364,1.555,1.334
14,0.466,0.318,-0.853,0.299,-0.317
15,0.474,0.554,-0.28,1.233,-0.483
16,-0.65,0.534,0.085,-0.793,-0.05
17,-1.098,0.698,-0.415,-0.408,-1.574
18,1.594,-0.747,1.08,-0.407,1.566
19,2.514,0.098,1.737,1.194,-0.804
20,0.431,0.968,1.313,-1.001,-1.038
21,0.024,-0.371,-0.068,0.905,0.491
22,-0.498,-0.056,0.366,0.055,-0.737
23,-0.038,-1.207,-0.433,0.755,-0.782
24,-0.846,0.167,-0.442,0.988,0.231
25,0.509,0.717,-0.851,-0.31,-0.254
26,-0.027,0.241,0.903,0.908,-1.16
27,-0.58,-0.457,-0.574,-1.681,0.67
28,0.389,-0.059,-0.518,0.182,-2.678
29,-2.202,-0.249,-0.661,0.318,0.594
30,0.734,0.071,-0.218,0.853,0.066
31,-0.143,1.043,0.858,0.373,-0.225
32,2.169,1.078,-0.096,0.648,0.672
33,0.183,-0.425,-0.375,-0.447,0.487
34,0.822,0.108,0.432,-0.227,1.115
35,0.841,-1.434,-0.096,1.617,0.022
36,0.194,-0.683,-1.246,-0.682,0.368
37,-0.939,-0.918,0.819,-0.259,0.084
38,1.906,2.046,-1.702,-1.127,-0.648
39,1.051,0.185,0.773,-0.748,1.855
40,0.912,0.085,-1.192,1.707,-0.431
41,-0.017,-0.093,-1.112,1.386,0.169
42,0.16,-0.159,-0.339,0.894,-0.271
43,-1.055,1.221,-0.077,0.837,0.065
44,-1.755,0.064,0.413,-2.445,-0.432
45,-1.263,2.577,0.691,-1.404,0.655
46,-1.28,1.603,1.4,-1.542,2.182
47,-0.559,0.978,-0.239,-0.65,-1.451
48,1.018,0.195,-0.663,-0.271,-0.602
49,0.48,0.858,-0.159,-0.736,1.059
50,0.927,-0.499,0.282,0.388,-0.203
51,-0.597,-0.891,-0.942,-0.572,-1.093
52,2.618,-0.318,-0.366,-1.535,0.586
53,-0.157,-0.748,0.812,1.656,-0.533
54,-1.52,1.388,1.282,1.85,0.526
55,-2.063,-0.581,0.521,1.045,0.943
56,0.15,0.049,1.185,1.133,0.42
57,-0.262,-0.619,-1.159,0.185,0.198
58,-0.352,0.808,-0.268,1.343,0.871
59,-1.859,-0.217,-0.437,-1.704,0.715
60,-0.224,0.588,1.437,0.438,-0.101
61,0.544,1.806,-0.078,-0.776,-0.115
62,-0.53,-0.484,1.81,-1.117,-0.088
63,-0.805,-0.319,0.428,-0.257,0.991
64,0.088,0.179,-1.446,-1.129,-1.67
65,0.485,0.92,0.077,-0.989,-2.55
66,0.106,-0.088,0.891,-1.358,0.394
67,0.693,0.02,-0.662,0.998,0.776
68,-1.31,0.297,-0.229,0.946,1.27
69,-0.432,-1.201,-0.162,0.081,-0.495
70,2.177,-0.286,0.538,0.446,-0.836
71,-1.64,0.071,0.075,-0.453,-1.124
72,-0.501,1.056,0.704,-0.768,1.043
73,0.327,-0.561,0.589,-0.456,-1.757
74,1.087,-1.188,0.947,1.695,1.573
75,-0.203,-0.309,1.396,-0.554,-0.621
76,-0.687,-0.307,-0.58,0.498,-1.463
77,1.116,-0.552,-0.841,1.505,-1.555
78,0.612,0.553,-0.346,0.927,2.926
79,-0.242,0.656,0.465,-2.246,-0.664
80,-1.551,0.047,-1.5,1.113,1.475
81,-0.869,0.637,-0.067,-2.612,2.776
82,0.233,-0.695,0.373,0.323,-1.649
83,-0.333,-1.529,1.323,0.707,-0.599
84,-1.173,-1.503,-0.181,-0.349,-0.298
85,-0.088,0.135,1.303,-0.769,1.074
