time,region_1,region_2,region_3,region_4,region_5
0,1.7597,1.6465,0.8021,1.5141,1.832
1,0.2273,1.1043,1.3878,0.6501,1.4608
2,0.3264,1.2623,0.7633,0.8118,1.3243
3,0.3203,0.8242,1.0665,0.353,0.1938
4,0.6427,0.9611,0.6548,0.6707,0.5871
5,2.0403,0.6988,1.823,0.4838,0.5965
6,1.0041,0.538,0.2946,0.9128,0.7889
7,0.8144,0.5515,0.3183,0.8544,1.2922
8,1.7833,0.608,0.7017,2.087,0.3225
9,0.6286,1.175,0.856,0.5194,0.4684
10,1.6953,0.3711,1.6346,0.5742,0.6372
11,1.1357,1.3645,1.1417,1.2346,0.6397
12,0.5506,1.3096,0.9237,1.0965,0.8089
13,1.958,0.4855,1.4056,0.4317,1.236
14,0.2404,0.4988,0.6714,1.1116,1.1031
15,1.2903,0.9696,0.8999,0.6754,1.1713
16,1.8854,1.1778,1.4329,1.0796,0.9554
17,1.5505,0.608,0.3839,0.6569,1.178
18,0.3138,0.4635,0.9265,0.542,0.3733
19,1.0404,1.0108,0.6488,0.4097,1.1599
20,0.4735,1.8366,1.4702,1.1608,0.7009
21,1.4546,0.5708,1.3603,1.0257,2.1042
22,0.3539,1.245,1.676,1.5805,0.482
23,2.1309,1.1149,1.0541,1.3745,0.7287
24,0.499,0.5206,0.3731,1.2127,1.0972
25,1.9809,0.6329,1.8837,0.8507,1.2828
26,1.9081,0.5059,1.4488,1.0354,0.4305
27,1.327,1.6572,1.1915,1.04,0.4389
28,0.953,1.3845,1.0481,0.6318,1.0857
29,2.1762,0.6732,0.4827,0.4264,1.307
30,2.2832,0.7395,1.2187,1.8388,1.7694
31,0.7822,1.7301,1.1826,0.6551,0.4345
32,0.5746,1.2603,0.7803,1.2029,0.7002
33,1.9954,1.5614,1.5426,0.3912,1.2049
34,1.3501,1.4864,0.5847,0.5821,2.0255
35,1.8374,0.7786,0.3576,0.6832,0.7139
36,0.7456,1.7082,0.6901,0.4758,1.4368
37,1.7566,1.0193,1.0549,1.5388,1.0841
38,1.2693,0.8039,1.4777,0.3021,1.5328
39,1.061,1.68,0.2654,0.8501,1.1696
40,1.1802,1.0361,1.235,0.8884,0.41
41,1.0305,0.5273,0.9763,1.1506,1.1418
42,1.284,1.5044,0.2245,0.6169,1.2562
43,2.0392,0.8433,0.363,0.501,0.8059
44,1.0691,1.6507,0.4781,0.5187,0.3252
45,2.1857,1.0551,1.3512,1.9614,0.5698
46,0.2443,0.975,1.0232,1.3503,1.3725
47,0.9281,1.2009,0.7373,0.3796,1.7724
48,0.7054,0.763,0.7404,1.1967,1.1565
49,1.0193,1.5944,0.5613,0.6025,0.4294
50,0.3268,0.9592,0.5414,1.1316,0.3197
51,1.2396,0.5319,0.3005,0.6861,0.8877
52,0.4346,1.9205,1.2295,1.1589,1.2451
53,0.852,0.6861,0.4128,1.2265,2.0025
54,1.2779,1.5224,2.0477,0.8514,0.9552
55,1.7015,1.8053,1.3001,0.8612,0.7292
56,1.0887,0.4327,0.875,0.8136,0.5788
57,1.3667,1.8161,0.9303,0.9516,1.991
58,0.7524,0.4998,0.8176,0.7263,0.6745
59,1.5197,1.9721,0.4069,1.1084,1.7342
60,0.8902,0.4666,0.5984,1.3664,0.7057
61,0.9287,1.1024,0.9851,2.0353,0.3602
62,0.7041,0.4096,0.893,1.4387,0.7764
63,1.6425,1.2374,1.0384,0.7449,0.5454
64,1.6972,1.0596,0.7145,0.4931,0.9766
65,0.8376,0.9707,0.6642,1.0284,1.9214
66,1.6512,1.2546,0.6363,1.5122,0.7539
67,0.692,0.3924,0.7366,1.426,0.6155
68,0.5524,1.9707,1.6994,1.0336,0.6351
69,0.5059,0.738,1.0771,0.4567,0.347
70,1.5224,0.7912,0.6291,0.7256,0.6064
71,1.6903,1.835,1.3319,0.7348,0.9412
72,0.5504,1.1396,0.778,1.5897,1.7986
73,0.849,2.1237,1.6409,0.9166,1.455
74,0.4204,0.6415,0.4755,1.5121,2.0997
75,0.4884,1.5216,0.4571,1.1605,0.2751
76,1.2717,0.624,1.4402,0.6032,1.1073
77,0.4272,0.7014,1.2205,0.4763,0.8807
78,1.015,0.5949,1.5794,0.5664,0.7189
79,0.7288,1.5093,1.3675,0.9586,1.2772
80,1.1891,1.0486,1.2391,0.8689,1.0065
81,0.8613,1.4134,1.4946,1.4045,0.607
82,0.6095,0.9657,0.6536,0.4425,0.6161
83,0.619,1.3176,0.599,0.6794,1.7169
84,0.4562,0.8474,0.5399,0.3119,0.8592
85,1.1443,1.0799,1.3984,0.3203,2.1288
86,1.6877,1.9688,0.4107,0.5603,1.5294
87,0.7007,1.9751,0.6244,0.567,0.7952
88,1.1621,0.5456,0.9915,0.877,1.2961
89,0.8846,1.2232,0.6463,0.6942,0.7811
90,0.3361,1.0482,0.5532,1.1425,0.8838
91,2.2695,0.8125,1.0403,0.6681,1.935
92,0.9916,0.4146,1.4185,0.8955,1.133
93,0.3673,0.9248,1.9478,0.5263,1.3827
94,1.188,0.9818,1.5048,0.7891,0.653
95,0.6199,0.4852,0.6892,1.0209,0.3497
96,1.4574,1.1866,1.0036,0.227,1.5025
97,0.4766,1.9397,0.453,1.047,1.2922
98,0.1592,0.9067,1.4532,0.4321,0.426
99,1.6614,0.7026,0.5997,0.8622,1.1552
