trial,condition,reaction_time_ms,accuracy,session
1,stim_C,299,0.923,session-1
2,stim_C,414,0.917,session-1
3,stim_A,214,0.922,session-1
4,stim_B,351,0.883,session-1
5,stim_A,279,0.916,session-1
6,stim_B,500,0.866,session-1
7,stim_C,355,0.91,session-1
8,stim_A,366,0.948,session-1
9,stim_A,351,0.834,session-1
10,stim_B,523,0.854,session-1
11,stim_C,316,0.926,session-1
12,stim_C,342,0.961,session-1
13,stim_A,304,0.883,session-1
14,stim_C,321,0.836,session-1
15,stim_B,444,0.879,session-1
16,stim_C,399,0.895,session-1
17,stim_B,310,0.924,session-1
18,stim_A,409,0.874,session-1
19,stim_C,360,0.897,session-1
20,stim_B,286,0.859,session-1
21,stim_B,443,0.913,session-1
22,stim_B,399,0.925,session-1
23,stim_C,345,0.84,session-1
24,stim_B,348,0.793,session-2
25,stim_C,309,0.826,session-2
26,stim_C,319,0.915,session-2
27,stim_B,378,0.876,session-2
28,stim_A,425,0.879,session-2
29,stim_A,344,0.885,session-2
30,stim_C,300,0.94,session-2
31,stim_B,285,0.907,session-2
32,stim_C,257,0.85,session-2
33,stim_B,481,0.827,session-2
34,stim_C,306,0.961,session-2
35,stim_A,369,0.909,session-2
36,stim_B,356,0.795,session-2
37,stim_C,308,0.988,session-2
38,stim_C,373,0.877,session-2
39,stim_C,298,0.868,session-2
40,stim_B,357,0.91,session-2
41,stim_A,333,0.977,session-2
42,stim_C,332,0.929,session-2
43,stim_B,285,0.908,session-2
44,stim_C,408,0.837,session-2
45,stim_A,316,0.955,session-2
46,stim_A,347,0.947,session-2
