trial,condition,reaction_time_ms,accuracy,session
1,stim_C,364,0.922,session-1
2,stim_C,313,0.942,session-1
3,stim_A,329,0.903,session-1
4,stim_A,297,0.893,session-1
5,stim_B,210,0.897,session-1
6,stim_B,294,0.897,session-1
7,stim_B,276,0.852,session-1
8,stim_C,344,0.943,session-1
9,stim_B,320,0.95,session-1
10,stim_A,446,0.855,session-1
11,stim_B,217,0.937,session-1
12,stim_A,385,0.937,session-1
13,stim_A,476,0.945,session-1
14,stim_A,394,0.956,session-1
15,stim_A,323,1.0,session-1
16,stim_C,280,0.88,session-1
17,stim_C,513,0.954,session-1
18,stim_B,430,0.828,session-1
19,stim_A,286,0.95,session-1
20,stim_A,299,0.997,session-1
21,stim_C,296,0.902,session-1
22,stim_B,335,0.896,session-1
23,stim_C,397,0.988,session-1
24,stim_C,267,0.932,session-1
25,stim_B,414,0.934,session-1
26,stim_B,405,0.908,session-1
27,stim_C,443,0.874,session-1
28,stim_A,274,0.902,session-1
29,stim_A,455,0.869,session-1
30,stim_A,390,0.894,session-1
31,stim_C,301,0.888,session-1
32,stim_C,249,0.874,session-1
33,stim_B,404,0.918,session-1
34,stim_B,260,0.93,session-1
35,stim_A,330,0.906,session-1
36,stim_C,342,0.966,session-1
37,stim_A,428,0.902,session-1
38,stim_B,390,0.895,session-1
39,stim_A,377,0.97,session-1
40,stim_C,257,0.818,session-1
41,stim_B,323,0.935,session-2
42,stim_A,319,0.877,session-2
43,stim_A,223,0.983,session-2
44,stim_C,383,0.935,session-2
45,stim_C,391,0.839,session-2
46,stim_A,349,0.903,session-2
47,stim_B,465,0.893,session-2
48,stim_B,347,1.0,session-2
49,stim_A,396,0.875,session-2
50,stim_A,386,0.897,session-2
51,stim_B,350,0.911,session-2
52,stim_C,325,0.859,session-2
53,stim_A,405,0.933,session-2
54,stim_B,439,0.962,session-2
55,stim_C,236,0.895,session-2
56,stim_B,490,0.911,session-2
57,stim_B,272,0.874,session-2
58,stim_C,279,0.954,session-2
59,stim_C,319,0.941,session-2
60,stim_A,349,0.984,session-2
61,stim_C,292,0.868,session-2
62,stim_C,420,0.865,session-2
63,stim_C,399,0.79,session-2
64,stim_A,435,0.963,session-2
65,stim_B,298,0.872,session-2
66,stim_B,319,0.934,session-2
67,stim_C,325,0.901,session-2
68,stim_C,375,0.833,session-2
69,stim_C,279,0.949,session-2
70,stim_C,355,0.793,session-2
71,stim_C,376,0.925,session-2
72,stim_B,289,0.924,session-2
73,stim_B,376,0.855,session-2
74,stim_C,431,0.901,session-2
75,stim_C,277,0.829,session-2
76,stim_A,417,0.963,session-2
77,stim_A,334,0.951,session-2
78,stim_A,453,0.992,session-2
79,stim_B,391,0.86,session-2
80,stim_B,278,0.946,session-2
