time,region_1,region_2,region_3,region_4,region_5
0,0.8789,1.0454,1.6971,1.1506,1.2928
1,1.707,1.428,0.4085,0.6713,2.038
2,1.2543,0.885,0.966,0.6609,1.1056
3,1.7961,0.9441,1.0059,1.3422,1.5979
4,0.3488,0.4718,1.5453,0.3912,0.5648
5,0.6071,0.6974,1.0436,0.8273,0.5279
6,0.6271,0.829,0.8067,1.2405,1.7227
7,0.7429,0.7773,0.9155,1.922,0.7789
8,1.0464,0.8375,1.8196,0.292,0.399
9,0.7312,0.9043,1.7118,1.5591,0.3318
10,0.9756,0.609,1.4183,0.4729,1.0374
11,0.4021,0.4409,0.7909,1.2515,1.7013
12,0.2721,1.5778,0.9475,1.0694,0.844
13,0.8491,2.1239,1.671,0.7154,1.6583
14,0.6953,1.168,0.5948,1.4519,1.2849
15,0.9326,0.9718,1.7478,0.4581,1.4616
16,1.6679,1.0428,0.5985,1.1182,1.143
17,0.709,1.1184,2.3426,1.367,1.6436
18,0.9095,0.5965,1.187,1.5445,1.4401
19,0.7919,0.7825,1.0523,1.1854,0.9158
20,1.5708,0.5491,0.4197,0.8207,0.5703
21,0.5894,0.7158,1.0581,0.5789,0.3843
22,0.7108,1.3046,1.5197,2.1634,1.7775
23,1.1474,1.1067,0.6648,0.8212,1.1053
24,2.2828,0.8937,0.7175,1.5115,0.5962
25,1.1674,0.9002,1.552,0.6697,0.4513
26,1.0594,0.5286,1.0243,0.7923,1.8226
27,1.726,0.5983,1.5418,1.3095,0.5311
28,1.231,0.3673,0.6169,1.7939,0.6899
29,0.7869,1.0224,0.3666,0.677,1.1685
30,1.3363,1.7162,1.9582,0.8735,0.6966
31,1.5008,0.6479,1.8459,1.316,0.2584
32,0.7644,0.3828,0.845,1.2911,1.19
33,1.3382,0.9498,0.6018,0.8107,0.6298
34,0.7423,0.837,1.0116,1.9613,0.6353
35,1.3879,1.6627,1.3291,0.4552,1.9976
36,0.4743,1.1913,2.1056,1.8252,0.362
37,1.7804,0.7126,0.7748,0.3001,0.3229
38,1.5198,0.7394,0.485,1.2305,0.4245
39,1.1493,1.2157,0.6691,0.8055,1.4703
40,0.5347,0.8941,0.7052,0.727,0.6814
41,1.2767,1.5636,1.6188,0.425,1.9646
42,0.7058,1.8269,2.0246,1.1909,0.7394
43,1.2612,1.5582,1.564,0.2299,1.4715
44,0.9338,0.5928,1.0845,1.696,1.3221
45,0.444,1.686,0.2422,1.8555,1.344
46,0.6556,0.6432,1.1213,1.0487,2.2103
47,0.2566,0.7341,0.7597,1.2911,0.6945
48,0.9548,0.7652,0.5804,0.3963,0.9113
49,1.6122,0.7043,0.7957,2.0803,1.9041
50,1.8753,0.7525,0.553,1.4942,1.5741
51,1.5122,0.626,0.7251,1.1294,0.4667
52,0.7525,0.5758,1.5335,0.6165,1.1653
53,2.0136,1.848,2.1282,0.6135,0.7195
54,0.863,0.182,0.4506,0.4166,1.0987
55,0.4034,0.6418,0.4833,1.0955,0.9004
56,1.3288,0.8906,0.6531,1.867,0.5465
57,1.4382,0.5268,0.7265,0.6581,0.9414
58,1.4222,0.8555,1.1596,0.9768,1.1126
59,0.7475,0.365,1.9119,0.5745,0.8632
60,0.9947,0.5106,1.143,0.1995,0.4305
61,0.8605,1.5918,0.6635,0.7705,0.751
62,0.9051,1.7674,0.7361,0.5961,0.6667
63,0.7684,1.1581,1.2329,0.491,0.7468
64,1.3153,0.9559,0.4542,2.2547,0.1831
65,0.4538,0.982,1.9543,0.785,0.6208
66,0.809,0.4159,0.4149,0.7915,1.2093
67,1.0548,1.2534,0.5799,1.362,0.5085
68,0.4442,1.99,1.0192,1.225,1.9754
69,1.0615,1.5934,0.5959,1.8348,0.5619
70,0.8279,0.6734,0.3011,1.6978,1.1134
71,1.1458,0.4798,1.556,1.6107,1.1138
72,1.113,1.1856,0.6495,0.8028,0.78
73,0.6718,1.1605,0.7805,1.04,0.451
74,0.883,0.2437,0.6609,1.1343,1.7711
75,0.8253,0.6553,1.3655,1.8078,0.8005
76,0.6864,1.1193,0.2791,1.5437,1.7958
77,1.5333,0.4076,1.3512,0.68,2.2887
78,1.8604,1.4358,1.8697,2.0127,0.9956
79,1.1755,0.8263,2.0401,1.0452,0.5974
80,1.1011,0.8098,0.814,0.6694,1.8643
81,0.6431,0.2851,0.7273,1.3184,0.2228
82,0.7268,0.4493,1.1245,0.2569,2.0756
83,0.7431,0.6227,1.0377,0.9259,0.977
84,1.3205,0.4623,0.8069,0.5944,0.4875
85,0.6632,0.4249,0.9186,1.3459,0.7199
86,2.0408,1.075,1.8716,1.6464,0.8238
87,0.6343,0.3255,0.3779,1.0771,1.3877
88,1.9244,0.7856,1.776,0.3123,0.4187
89,1.9723,0.6767,1.7461,2.041,0.5206
90,0.8563,1.2889,1.18,0.5536,0.5051
91,0.9304,0.7971,0.8036,1.4187,0.5666
92,1.7965,1.7328,1.5678,1.3656,0.872
93,0.83,0.5298,0.6175,0.6064,0.5765
94,1.0361,1.1026,1.6272,0.9298,2.1082
95,0.6391,1.2706,1.5212,1.1244,0.5079
96,0.3262,0.296,0.8497,0.9409,0.4535
97,0.6274,0.4782,0.6658,1.5006,0.7118
98,0.3517,0.6049,1.8159,0.576,1.8946
99,1.7838,0.9233,0.8059,1.6228,1.384
