time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
1,-0.246,-0.671,1.345,-0.502,0.873
2,0.621,-0.577,1.093,-0.349,-1.406
3,0.798,0.014,0.712,1.008,-0.048
4,0.778,0.712,-0.873,0.121,1.268
5,-0.15,-1.238,0.392,-0.168,-1.189
6,1.961,-0.598,1.632,0.961,0.417
7,0.523,-1.917,-2.513,-1.494,-0.022
8,-0.912,1.516,-0.039,0.791,0.172
9,-0.648,-0.754,-1.387,-0.111,0.239
10,0.083,-0.684,-1.196,0.329,-0.481
11,-0.039,0.678,-0.066,0.855,-0.115
12,0.439,-1.11,0.629,0.239,-0.434
13,0.389,-0.873,0.87,-1.407,-0.047
14,1.196,0.387,0.953,0.534,1.812
15,0.957,0.271,0.601,-0.424,1.537
16,-0.599,0.672,-0.669,-1.477,0.661
17,-1.703,1.465,0.388,1.014,0.519
18,0.711,-0.064,-0.042,0.428,0.776
19,-1.374,-0.722,0.253,0.644,1.387
20,-0.582,0.143,0.231,1.003,0.567
21,-0.587,-0.624,0.75,0.033,1.591
22,-0.561,1.094,1.539,-1.342,-1.825
23,0.808,0.168,1.32,-0.157,0.72
24,-0.358,1.7,-0.434,-0.9,-0.225
25,-1.716,-0.553,0.724,0.623,-0.416
26,-1.442,0.775,-0.511,-1.414,0.382
27,0.631,-0.105,0.732,-0.001,0.23
28,-0.772,-1.433,0.006,0.201,-0.738
29,-0.449,0.574,0.65,-1.162,-1.022
30,-0.536,0.578,-2.031,-0.167,-0.072
31,-0.283,0.283,1.908,-0.473,-0.309
32,-1.743,-1.243,1.077,0.032,0.179
33,-0.539,0.303,-0.503,0.061,1.043
34,-0.383,0.674,-0.772,-2.115,0.074
35,-1.138,-0.852,-0.506,1.495,-0.427
36,-0.249,-0.224,-2.286,-0.33,-1.182
37,0.464,0.961,0.382,-0.128,-0.627
38,-0.032,-1.285,0.095,-0.01,-1.917
39,-1.116,1.831,0.226,-0.499,0.079
40,0.531,2.302,-0.977,-0.899,-0.985
41,-0.179,0.693,0.172,0.967,-0.075
42,-0.51,-1.428,-0.033,0.563,0.048
43,0.085,1.543,-0.411,-0.81,-0.172
44,0.383,-0.715,-1.212,0.101,0.098
45,-0.225,1.276,-0.119,0.208,-0.737
46,0.324,0.701,-0.529,-0.466,-0.446
