trial,condition,reaction_time_ms,accuracy,session
1,stim_A,346,0.972,session-1
2,stim_A,352,0.95,session-1
3,stim_A,296,0.984,session-1
4,stim_C,454,0.971,session-1
5,stim_A,337,0.968,session-1
6,stim_A,265,0.886,session-1
7,stim_B,367,0.893,session-1
8,stim_A,332,0.857,session-1
9,stim_B,389,0.924,session-1
10,stim_A,400,0.973,session-1
11,stim_A,413,0.874,session-1
12,stim_B,267,0.909,session-1
13,stim_B,435,0.921,session-1
14,stim_B,244,0.944,session-1
15,stim_A,339,0.871,session-1
16,stim_A,408,0.912,session-1
17,stim_B,386,0.893,session-1
18,stim_B,362,0.873,session-1
19,stim_A,412,0.901,session-1
20,stim_B,303,0.869,session-1
21,stim_B,346,0.837,session-1
22,stim_A,298,0.901,session-1
23,stim_A,288,1.0,session-2
24,stim_B,328,0.948,session-2
25,stim_C,284,0.912,session-2
26,stim_C,408,0.919,session-2
27,stim_C,344,0.893,session-2
28,stim_C,368,0.946,session-2
29,stim_A,344,0.926,session-2
30,stim_B,349,0.879,session-2
31,stim_B,246,0.83,session-2
32,stim_C,333,0.939,session-2
33,stim_A,392,0.966,session-2
34,stim_B,450,0.904,session-2
35,stim_A,406,0.83,session-2
36,stim_C,345,0.93,session-2
37,stim_B,290,0.882,session-2
38,stim_A,443,0.814,session-2
39,stim_A,351,0.906,session-2
40,stim_B,363,0.911,session-2
41,stim_A,354,0.826,session-2
42,stim_C,372,0.867,session-2
43,stim_C,408,0.955,session-2
44,stim_B,379,0.944,session-2
