time,region_1,region_2,region_3,region_4,region_5
0,0.5528,2.0507,1.5312,1.6416,1.2786
1,1.4754,1.2656,2.1604,1.8531,1.378
2,0.4084,0.5071,0.6307,1.6231,0.6594
3,0.5666,0.346,1.1758,1.245,0.5228
4,0.7401,1.1137,0.5665,0.7902,1.542
5,0.9635,0.4709,0.7125,0.9534,0.4075
6,0.5998,1.2077,0.5915,0.9296,0.5467
7,0.8484,0.7428,0.6293,0.8406,1.281
8,1.005,0.9141,2.118,0.8593,0.6814
9,1.2402,0.7994,0.9594,0.5929,1.0771
10,0.7756,0.9483,0.619,0.2586,0.6726
11,0.5317,0.1338,1.198,0.8289,0.5371
12,1.2574,1.4965,0.5574,1.0474,1.1998
13,1.1114,0.7037,0.3708,0.7966,1.2992
14,0.8674,1.9944,0.8511,1.6928,1.4404
15,0.2301,0.5383,1.5015,1.5081,2.0311
16,1.3982,1.0524,1.646,0.8179,2.2921
17,0.4631,1.3275,1.7634,1.3655,0.8487
18,0.7401,1.2235,1.3809,0.3004,1.1554
19,1.3835,0.3907,1.0992,0.7683,1.1347
20,1.7004,0.4589,0.9121,0.5936,0.775
21,0.6326,0.8596,1.3617,1.312,0.6527
22,0.3673,0.286,0.8374,1.201,0.7045
23,0.4552,0.5828,0.4858,1.6372,0.6685
24,1.5495,0.8282,0.5262,1.8233,0.9354
25,0.4039,0.6816,0.7906,1.7761,0.9043
26,0.8555,0.7837,0.2934,0.684,0.5128
27,1.3811,0.4104,0.7259,0.5694,1.0376
28,0.649,0.7869,0.7237,0.4499,0.432
29,0.9574,1.1354,1.5145,1.144,1.2019
30,1.2464,0.9994,1.184,2.0668,0.9997
31,0.8232,1.5526,0.9176,0.9065,0.7156
32,0.3524,0.6691,0.5781,0.5954,0.8985
33,0.8747,1.4628,0.6836,2.1442,1.0831
34,0.51,1.2788,0.514,1.7352,0.5146
35,0.6669,0.5899,1.3517,1.0502,0.5544
36,1.5873,0.9156,0.6098,0.7165,0.9796
37,0.5102,1.9335,2.3148,1.1735,0.9027
38,0.4872,1.5358,0.7092,0.6524,0.9588
39,0.2882,0.7629,0.6853,1.5383,2.0662
40,1.4283,0.7622,0.4851,0.3896,0.8102
41,1.4688,2.1252,1.1995,2.0224,0.2488
42,0.6189,0.7025,1.0674,0.6158,0.9105
43,1.2662,0.7941,1.0655,0.4057,1.5691
44,0.5243,1.1746,1.1958,1.8428,0.6647
45,0.5175,1.0,2.0653,0.4507,1.4689
46,1.7186,0.9592,1.1805,0.8575,0.8896
47,1.4825,0.4034,1.4973,1.5824,0.8556
48,0.7998,0.6338,2.2258,0.7211,0.6945
49,0.683,0.7543,0.6613,1.0848,1.3371
50,0.8299,1.1828,1.249,0.6709,0.9803
51,1.4574,0.8139,1.0597,1.3835,1.1321
52,0.5485,1.8468,0.7732,1.6721,0.6189
53,0.2708,1.6456,1.6003,0.9444,0.7378
54,1.1305,0.3359,1.5269,0.4092,1.4219
55,0.7012,1.4945,1.5719,1.0849,0.5412
56,0.7714,0.5034,0.6674,0.8809,2.1122
57,1.0471,1.1676,0.908,1.0645,0.7141
58,0.727,1.2111,1.0976,1.5179,1.2096
59,0.4111,1.2672,0.7098,0.7511,0.6324
60,1.1205,0.4242,1.46,0.8603,0.5921
61,1.7078,1.159,1.3031,0.6725,1.0687
62,1.279,1.087,1.9573,1.1192,0.7861
63,0.2852,2.2687,0.8658,1.6954,0.5084
64,0.787,1.1448,0.9286,1.3468,1.053
65,1.1034,0.6523,0.7048,0.589,0.6185
66,0.8302,0.921,0.7516,0.8061,0.5975
67,2.0536,1.6877,1.8244,0.6095,0.3712
68,0.8638,0.7263,1.7128,0.4253,0.6783
69,0.522,1.549,1.4436,0.812,1.6819
70,0.535,0.5386,0.8616,0.4864,0.6654
71,2.0132,1.3764,1.3277,0.2377,1.8078
72,0.4999,0.781,1.4574,1.0089,1.2632
73,0.4474,1.7606,1.0262,1.5594,0.3764
74,1.3847,0.6877,1.3679,1.9484,0.7571
75,1.2876,1.0406,0.7144,1.2599,0.6256
76,1.9143,0.8685,1.0069,1.4804,0.8886
77,0.2577,0.7248,0.6,1.1232,0.8089
78,0.83,0.9661,0.7228,1.0906,1.9456
79,0.7552,1.3205,1.1054,1.3448,0.6746
80,0.8231,1.6712,0.6257,0.6367,2.1847
81,0.6117,1.2023,0.7186,0.9031,1.4648
82,0.7151,1.7893,1.0237,1.298,1.6264
83,1.6297,0.8836,2.1069,0.9366,1.1662
84,0.5174,0.6952,1.5226,0.1289,0.3986
85,1.503,0.9351,0.8986,1.0845,1.9931
86,0.4173,1.6127,0.8442,1.1636,1.2642
87,0.9671,1.0051,1.2236,1.1223,0.3786
88,1.9645,0.9167,0.6907,0.7837,0.6494
89,1.6817,0.5642,1.01,1.3076,1.3788
90,1.4278,0.9858,0.6464,1.3971,0.496
91,0.8949,2.0793,1.3631,0.7073,0.8269
92,0.6219,0.985,1.682,0.4997,1.1069
93,0.6753,1.3358,1.2083,0.3101,1.0689
94,0.2663,0.7883,1.0791,1.287,1.3208
95,1.4833,1.628,1.6437,1.2464,0.8786
96,0.7415,1.6469,1.4196,1.7074,0.5275
97,0.4836,1.0681,1.1981,0.422,1.7562
98,1.2739,0.9142,0.7823,0.708,0.9332
99,0.8609,1.0968,1.6213,1.9837,1.8085
